智能--它是什么？	Intelligence -- what is it?
如果它是基本概念，就像空间、时间和质量一样， 那么很自然地可以假定它也可能具有普遍性， 就像其它的基本概念一样。	If it's fundamental, like space and time and mass, it's natural to suppose that it might be universal too, the way they are.
还有一点值得注意的是虽然这个想法 对我们来说是违反直觉的， 但对来自其他文化的人来说 可能就不是那么违反直觉了， 那些人的心灵 跟自然联系在一起的时间更长。	It's also worth noting that although the idea seems counterintuitive to us, it's much less counterintuitive to people from different cultures, where the human mind is seen as much more continuous with nature.
从这个想法中得到的一个更深的动机是 也许找出将意识与物理过程 联系在一起的 最简单和最有力的方式 就是将意识与信息相结合。	A deeper motivation comes from the idea that perhaps the most simple and powerful way to find fundamental laws connecting consciousness to physical processing is to link consciousness to information.
有信息处理的地方 就有意识。	Wherever there's information processing, there's consciousness.
复杂的信息处理，比如说人类的信息处理， 伴随着复杂的意识。	Complex information processing, like in a human, complex consciousness.
简单的信息处理， 伴随着简单的意识。	Simple information processing, simple consciousness.
一件令人很兴奋的事是最近几年 有一个神经科学家，朱利奥·托诺尼 采用了这种理论 并且严格按照数学理论 的方式发展了它。	A really exciting thing is in recent years a neuroscientist, Giulio Tononi, has taken this kind of theory and developed it rigorously with a mathematical theory.
他有一个关于信息整合 的数学测量， 他称之为phi， 他用它来测量 一个系统中的信息整合的量。	He has a mathematical measure of information integration which he calls phi, measuring the amount of information integrated in a system.
他推断phi 是与意识相关的。	And he supposes that phi goes along with consciousness.
所以在人类的大脑中， 有着令人难以置信的信息整合量， 高度的phi值， 一大堆的意识。	So in a human brain, incredibly large amount of information integration, high degree of phi, a whole lot of consciousness.
在老鼠的大脑中，有中度的信息整合量， 但仍然数目庞大， 仍然具有大量的意识。	In a mouse, medium degree of information integration, still pretty significant, pretty serious amount of consciousness.
但是当你将研究目标降至蠕虫、 微生物、粒子， phi的值就会跌落。	But as you go down to worms, microbes, particles, the amount of phi falls off.
信息整合量会跌落， 但不会为零。	The amount of information integration falls off, but it's still non-zero.
在托诺尼的理论中， 意识程度 也不会降为零。	On Tononi's theory, there's still going to be a non-zero degree of consciousness.
事实上，他正在提出这样一个关于意识的 基本定律：phi值越高，意识度也越高。	In effect, he's proposing a fundamental law of consciousness: high phi, high consciousness.
现在，我不知道这个理论是否正确， 但是实际上或许它正处于 意识科学的理论前沿， 并且它已经被用于整合 各方面的科学数据， 它还有一个很好的属性就是它足够简单， 简单到你可以将它写在T恤上。	Now, I don't know if this theory is right, but it's actually perhaps the leading theory right now in the science of consciousness, and it's been used to integrate a whole range of scientific data, and it does have a nice property that it is in fact simple enough you can write it on the front of a t-shirt.
另外一个最终动机就是 泛心论可以帮助我们 将意识和物理世界相结合。	Another final motivation is that panpsychism might help us to integrate consciousness into the physical world.
物理学家和哲学家经常注意到 物理学是深奥抽象的。	Physicists and philosophers have often observed that physics is curiously abstract.
它用一连串的方程式 去描述现实结构， 但是它又不告诉我们 构成它的现实基础。	It describes the structure of reality using a bunch of equations, but it doesn't tell us about the reality that underlies it.
正如史蒂芬·霍金所说， 是什么将火放进方程式的？	As Stephen Hawking puts it, what puts the fire into the equations?
而在泛心论者看来， 物理方程可以是它现在的样子， 但是你也可以用它来描述 意识的量。	Well, on the panpsychist view, you can leave the equations of physics as they are, but you can take them to be describing the flux of consciousness.
这是物理学最终要做的， 描述意识的量。	That's what physics really is ultimately doing, describing the flux of consciousness.
用这种观点看来，是意识 将火放到了方程中。	On this view, it's consciousness that puts the fire into the equations.
在那种观点看来，意识 不是晃荡在物质世界之外 的特别的东西。	On that view, consciousness doesn't dangle outside the physical world as some kind of extra.
它存在于物质世界的核心。	It's there right at its heart.
我认为，这种泛心论者的观点， 有那种使我们对我们与自然的关系产生改观 的潜能， 并且它可能产生一些相当严重的 社会和伦理方面的后果。	This view, I think, the panpsychist view, has the potential to transfigure our relationship to nature, and it may have some pretty serious social and ethical consequences.
它们当中的一些可能是违反直觉的。	Some of these may be counterintuitive.
我曾经想我不可以 吃任何有意识的东西， 因此我要做一个素食主义者。	I used to think I shouldn't eat anything which is conscious, so therefore I should be vegetarian.
但是现，如果你是一个泛心论者并且采用这种观点， 你只能挨饿。	Now, if you're a panpsychist and you take that view, you're going to go very hungry.
因此我想当你思考它的时候， 这将会使你有改变观点的倾向， 然而对于伦理目标 和道德考量来说 最重要的不是关于意识的事实， 而是意识的程度和复杂性。	So I think when you think about it, this tends to transfigure your views, whereas what matters for ethical purposes and moral considerations, not so much the fact of consciousness, but the degree and the complexity of consciousness.
探讨其它系统，比如说电脑中的意识 也是一件很自然的事情。	It's also natural to ask about consciousness in other systems, like computers.
比如说电影《她》中的 人工智能系统萨曼莎是什么情况？	What about the artificially intelligent system in the movie "Her," Samantha?
她有意识吗？	Is she conscious?
如果你用这种信息性的， 泛心论者的角度来看， 她的确能进行复杂的信息处理 和整合， 所以答案很有可能是"是"，她是有意识的。	Well, if you take the informational, panpsychist view, she certainly has complicated information processing and integration, so the answer is very likely yes, she is conscious.
如果这个答案正确的话， 那么不管是开发智能计算机系统 或者关闭他们 都会引起严重的伦理问题。	If that's right, it raises pretty serious ethical issues about both the ethics of developing intelligent computer systems and the ethics of turning them off.
最后，你可能会询问 集体意识、 行星的意识。	Finally, you might ask about the consciousness of whole groups, the planet.
加拿大有它自己的意识吗？	Does Canada have its own consciousness?
或者在一个更地方的层面来说， 一个由一场TED大会的听众 所组成的集体 拥有集体的TED意识吗， 这个TED集体 的内在电影 是与我们每个人自己 的内在电影不同吗？	Or at a more local level, does an integrated group like the audience at a TED conference, are we right now having a collective TED consciousness, an inner movie for this collective TED group which is distinct from the inner movies of each of our parts?
我不知道这个问题的答案， 但我觉得至少它 值得重视。	I don't know the answer to that question, but I think it's at least one worth taking seriously.
好了，这就是泛心论者的观点， 它是一个激进的想法， 而我不知道它是否正确。	Okay, so this panpsychist vision, it is a radical one, and I don't know that it's correct.
事实上我对第一个疯狂想法 即意识是一种基本概念， 要比对第二个疯狂想法 即意识是普遍存在的 要更有把握。	I'm actually more confident about the first crazy idea, that consciousness is fundamental, than about the second one, that it's universal.
我的意思是，这个观点引起了很多问题， 拥有很多挑战， 比如说那些小的意识 是如何添加到 我们了解和喜爱 的复杂意识中去的。	I mean, the view raises any number of questions, has any number of challenges, like how do those little bits of consciousness add up to the kind of complex consciousness we know and love.
如果我们能够回答这些问题， 那么我想我们就会在通往 关于意识的严肃理论的道路上顺利走下去。	If we can answer those questions, then I think we're going to be well on our way to a serious theory of consciousness.
如果不能，那么这可能成为 科学上和哲学上最难解的问题。	If not, well, this is the hardest problem perhaps in science and philosophy.
我们不能期盼一个晚上就能解决这个问题。	We can't expect to solve it overnight.
但是我相信我们终将弄明白它。	But I do think we're going to figure it out eventually.
我想，理解意识是 我们理解宇宙 和理解我们自己的一个关键。	Understanding consciousness is a real key, I think, both to understanding the universe and to understanding ourselves.
而做到这一点也许只需要我们采用正确的疯狂想法。	It may just take the right crazy idea.
谢谢。	Thank you.
这是我的侄女，斯特拉。	This is my niece, Stella.
她刚满一岁并开始学走路了。	She's just turned one and started to walk.
她正在用一岁的小孩通常使用的非常酷的方式走路， 那种摇摇晃晃、身体比腿移动得快得多的方式。	And she's walking in that really cool way that one-year-olds do, a kind of teetering, my-body's-moving- too-fast-for-my-legs kind of way.
这真的很有意思。	It is absolutely gorgeous.
她最喜欢做的事情之一 就是盯着镜子里的自己。	And one of her favorite things to do at the moment is to stare at herself in the mirror.
她非常喜欢自己在镜子里的影像。	She absolutely loves her reflection.
她边笑边叫，然后给了镜子中的自己一些大大的、湿湿的吻。	She giggles and squeals, and gives herself these big, wet kisses.
从什么时候开始，突然间我们不再喜欢自己的长相了？	When is it suddenly not okay to love the way that we look?
因为很显然我们不再那样做。	Because apparently we don't.
每个月都有一万人在谷歌上搜索 "我丑吗?"	Ten thousand people every month google, "Am I ugly?"
这是法耶，她13岁，住在丹佛。	This is Faye. Faye is 13 and she lives in Denver.
就像所有的青少年一样，她也想被别人喜欢并与人相处融洽。	And like any teenager, she just wants to be liked and to fit in.
她有些害怕，并且有一点困惑，因为 尽管她妈妈一直告诉她说 她很漂亮， 但是每天在学校都会有人说她长得难看。	And she's slightly dreading it, and she's a bit confused because despite her mom telling her all the time that she's beautiful, every day at school, someone tells her that she's ugly.
因为她妈妈告诉她的和她在学校的朋友 或同龄人告诉她的是不同的， 所以她不知道该相信谁。	Because of the difference between what her mom tells her and what her friends at school, or her peers at school are telling her, she doesn't know who to believe.
它们中的一些很下流，不值一提。	Some of them are so nasty, they don't bear thinking about.
这是一个普通的、看起来很健康的少女 在她生命中情感最脆弱的时光收到的回复。	This is an average, healthy-looking teenage girl receiving this feedback at one of the most emotionally vulnerable times in her life.
今天的青少年很少独处。	Well, today's teenagers are rarely alone.
他们被迫上网并随时保持在线， 聊天、发信息、点赞、评论、分享、上传—— 无休无止。	They're under pressure to be online and available at all times, talking, messaging, liking, commenting, sharing, posting — it never ends.
我们之前从来没有如此被紧密地联系， 而且是如此地无休无止、如此快速，如此年轻。	Never before have we been so connected, so continuously, so instantaneously, so young.
正如一位妈妈跟我说的，似乎每天晚上他们的卧室里都有聚会。	And as one mom told me, it's like there's a party in their bedroom every night.
简直毫无隐私。	There's simply no privacy.
而由此伴随而来的社会压力也是残酷的。	And the social pressures that go along with that are relentless.
这种永远在线的环境将我们的孩子训练成 要靠通过他们获得的点赞数量 和收到的评论来肯定自己的价值。	This always-on environment is training our kids to value themselves based on the number of likes they get and the types of comments that they receive.
没有线上和线下之分，	There's no separation between online and offline life.
很难区分什么是真实的什么不是真实的，	What's real or what isn't is really hard to tell the difference between.
那他们又从哪里去获得灵感呢？	And where are they looking to for inspiration?
你可以看看那些今天出现在各种新闻中 女孩的形象。	Well, you can see the kinds of images that are covering the newsfeeds of girls today.
"零号尺寸"模特仍然统治着T形台。	Size zero models still dominate our catwalks.
修饰照片现在也很常见。	Airbrushing is now routine.
现在的趋势是#励瘦、#大腿间距、 #比基尼桥和#安娜运动。	And trends like #thinspiration, #thighgap, #bikinibridge and #proana.
要跟那些不明白这些的人提一下，#安娜运动的意思是支持厌食。	For those who don't know, #proana means pro-anorexia.
这些趋势与今天的流行文化中对女性的刻板印象 和公然物化结合在一起。	These trends are teamed with the stereotyping and flagrant objectification of women in today's popular culture.
从中不难看出女孩子们是怎样定位自己的。	It is not hard to see what girls are benchmarking themselves against.
但是男孩子们对此也不能幸免。	But boys are not immune to this either.
他们渴望拥有轮廓分明的下巴线条和像英雄般的体育明星 以及花花公子音乐艺术家所拥有的六块腹肌。	Aspiring to the chiseled jaw lines and ripped six packs of superhero-like sports stars and playboy music artists.
但是, 所有的这些表现的问题是什么呢?	But, what's the problem with all of this?
我们当然希望我们的孩子成长为一个健康、均衡发展的个人。	Well, surely we want our kids to grow up as healthy, well balanced individuals.
但是在这样一个对相貌着迷的文化中，我们正将我们的孩子训练成 将更多的时间和精力花在外貌上， 而对于其他方面的身份认同关注更少的人。	But in an image-obsessed culture, we are training our kids to spend more time and mental effort on their appearance at the expense of all of the other aspects of their identities.
因此，他们会在人际关系、体能发展 和学习等方面开始受挫。	So, things like their relationships, the development of their physical abilities, and their studies and so on begin to suffer.
现在10个女孩中有6个会因为她们觉得自己不够好看 而不去做某事。	Six out of 10 girls are now choosing not to do something because they don't think they look good enough.
这些都不是琐事。	These are not trivial activities.
作为人类以及社会和职场的参与者的发展来说， 这些都是基本的。	These are fundamental activities to their development as humans and as contributors to society and to the workforce.
有31%，也就是说将近三分之一的青少年 会从课堂辩论中退出。 他们退出是因为 不想让别人注意到他们的长相。	Thirty-one percent, nearly one in three teenagers, are withdrawing from classroom debate. They're failing to engage in classroom debate because they don't want to draw attention to the way that they look.
有五分之一的青少年在感觉不是很好的时候 甚至都不会在班级里露面。	One in five are not showing up to class at all on days when they don't feel good about it.
考试的时候， 如果你觉得自己不够好看， 特别是如果你觉得自己不够苗条的话， 那么跟那些不关心这些的同学比起来 你可能得到的平均分数要比他们低。	And when it comes to exams, if you don't think you look good enough, specifically if you don't think you are thin enough, you will score a lower grade point average than your peers who are not concerned with this.
这一点不管是在芬兰、美国	And this is consistent across Finland, the U.S.
还是中国都是一致的，而且不管你真实的体重是多少。	and China, and is true regardless of how much you actually weigh.
所以非常清楚，我们是在讨论 你所认为的自己的长相，而不是你的真实长相。	So to be super clear, we're talking about the way you think you look, not how you actually look.
对身体的信心不足会削弱学业成绩。	Low body confidence is undermining academic achievement.
而且也会有损健康。	But it's also damaging health.
那些对自己身体信心不足的青少年会更少参加体育活动， 吃更少的水果和蔬菜， 而会更多参加那些不健康的可能导致饮食失调的 体重控制训练。	Teenagers with low body confidence do less physical activity, eat less fruits and vegetables, partake in more unhealthy weight control practices that can lead to eating disorders.
而且我们并不会因为长大而放弃追求完美身材。	And we don't grow out of it.
那些认为自己超重的妇女——不管她们 是否真的超重—— 会有更高的缺勤率。	Women who think they're overweight — again, regardless of whether they are or are not — have higher rates of absenteeism.
17%的女性会因为 某天感觉对自己的长相不自信 而不去参加那天的面试。	Seventeen percent of women would not show up to a job interview on a day when they weren't feeling confident about the way that they look.
想一下这对我们的经济 会有什么影响。	Have a think about what this is doing to our economy.
如果我们能克服这些，将会带来 哪些机会。	If we could overcome this, what that opportunity looks like.
释放这个潜能将有益于 我们每一个人。	Unlocking this potential is in the interest of every single one of us.
但是我们该如何去做呢？	But how do we do that?
单独的空谈，也就只能到此为止了。	Well, talking, on its own, only gets you so far.
它本身是不够的。	It's not enough by itself.
如果你真的想有所改变， 你得去做点什么。	If you actually want to make a difference, you have to do something.
而我们了解到这里有三个关键的方法： 首先我们得培养自己对身体充满信心。	And we've learned there are three key ways: The first is we have to educate for body confidence.
我们得帮助青少年想出 策略去克服跟形象有关的压力 并且建立他们的自尊心。	We have to help our teenagers develop strategies to overcome image-related pressures and build their self-esteem.
好消息是现在已经有 许多这样的项目。	Now, the good news is that there are many programs out there available to do this.
坏消息是大多数这样的项目没有效。	The bad news is that most of them don't work.
我很震惊地了解到许多善意的 项目却无意中 使得情况更糟糕了。	I was shocked to learn that many well-meaning programs are inadvertently actually making the situation worse.
因此我们要确保 我们的孩子们正在接受的项目 不仅是对他们有积极影响的， 而且还要有持续的影响。	So we need to make damn sure that the programs that our kids are receiving are not only having a positive impact, but having a lasting impact as well.
研究表明最好的项目 跟六个关键领域有关： 首先是家人和亲朋好友的影响。	And the research shows that the best programs address six key areas: The first is the influence of family, friends and relationships.
其次是媒体和名人文化， 然后是如何处理调侃和欺凌， 同其他人基于长相的 竞争和比较的方式， 对相貌的讨论——有些人 称之为"身材谈话"或"肥胖谈话"—— 最后一点，是你尊重 和看待自己的基础。	The second is media and celebrity culture, then how to handle teasing and bullying, the way we compete and compare with one another based on looks, talking about appearance — some people call this "body talk" or "fat talk" — and finally, the foundations of respecting and looking after yourself.
挑战我们在圈子中 如何看待和谈论女性的现状。	Challenging the status quo of how women are seen and talked about in our own circles.
我们不能仅凭 政治家的发型和胸围 去判断她的贡献大小， 或者因为长相不佳而推断 一个奥运会运动员不会成功。	It is not okay that we judge the contribution of our politicians by their haircuts or the size of their breasts, or to infer that the determination or the success of an Olympian is down to her not being a looker.
我们需要根据人们的所做所为去评判一个人， 而不是他们的长相。	We need to start judging people by what they do, not what they look like.
我们可以从对我们 发布在社交网络上的图片和评论 担起责任开始做起。	We can all start by taking responsibility for the types of pictures and comments that we post on our own social networks.
我们可以基于人们的努力 和行动去赞美他们 而不是他们的相貌。	We can compliment people based on their effort and their actions and not on their appearance.
让我来问问你， 你上一次对着镜子亲吻 是什么时候？	And let me ask you, when was the last time that you kissed a mirror?
最终，我们需要跟 社区、政府 和企业一起努力去改变我们的这些文化， 这样我们的孩子才能在成长中获得完整的自我， 重视个性、多元和包容。	Ultimately, we need to work together as communities, as governments and as businesses to really change this culture of ours so that our kids grow up valuing their whole selves, valuing individuality, diversity, inclusion.
我们要让那些正在改变 我们的现状的人去改变 真实的世界。	We need to put the people that are making a real difference on our pedestals, making a difference in the real world.
给他们时间，因为只有这样 我们才能创造一个不同的世界，	Giving them the airtime, because only then will we create a different world.
一个我们的孩子可以自由地成为 最好的自己的世界， 一个他们不会因自己的长相 而阻碍他们成为自己想要成为的人 或者获得想要的东西的世界。	A world where our kids are free to become the best versions of themselves, where the way they think they look never holds them back from being who they are or achieving what they want in life.
想一下这对你生命中的某个人可能意味着什么。	Think about what this might mean for someone in your life.
还是你的某个朋友？也可能只是今天 跟你隔着几个座位的某个女性。	Your friend? It could just be the woman a couple of seats away from you today.
这将对她意味着什么呢? 如果她能摆脱内心挑剔的声音 唠叨她要有 更长更细的大腿,更瘦的肚子 和更短的脚。	What would it mean for her if she were freed from that voice of her inner critic, nagging her to have longer legs, thinner thighs, smaller stomach, shorter feet?
如果我们能克服这些并打开 她在那方面的潜力，那对她来说又将意味着什么？	What could it mean for her if we overcame this and unlocked her potential in that way?
现在，我们的文化中对形象的痴迷 阻碍了我们所有人。	Right now, our culture's obsession with image is holding us all back.
但是让我们向孩子们展示真相。	But let's show our kids the truth.
让我们向他们表明长相 只是身份的一部分， 而事实是我们爱他们是因为 他们是谁 和他们的所做所为 以及他们给我们的感觉。	Let's show them that the way you look is just one part of your identity and that the truth is we love them for who they are and what they do and how they make us feel.
让我们在学校的课程中设置自尊心科目。	Let's build self-esteem into our school curriculums.
让我们每一个人改变 我们谈论自己和跟他人比较的方式。	Let's each and every one of us change the way we talk and compare ourselves to other people.
让我们作为团体一起努力， 从基层到政府， 以便这些今天一岁大的快乐的孩子 成为 明天自信的变革者。	And let's work together as communities, from grassroots to governments, so that the happy little one-year-olds of today become the confident changemakers of tomorrow.
让我们这样做吧。	Let's do this.
今天我要跟大家讲述 过去30年的建筑史。	Today I'm going to speak to you about the last 30 years of architectural history.
太多东西要在这18分钟内讲述了。	That's a lot to pack into 18 minutes.
这是一个复杂的题目， 那就让我们从这个复杂的地方开始： 新泽西。	It's a complex topic, so we're just going to dive right in at a complex place: New Jersey.
三十年前，我住新泽西 那时我六岁，我住在父母家 小镇名叫Livingston， 这是我儿时的卧室。	Because 30 years ago, I'm from Jersey, and I was six, and I lived there in my parents' house in a town called Livingston, and this was my childhood bedroom.
在我卧室的角落 是我和姐姐共用的洗手间。	Around the corner from my bedroom was the bathroom that I used to share with my sister.
在我的卧室和浴室之间 是一个可以看到客厅的阳台。	And in between my bedroom and the bathroom was a balcony that overlooked the family room.
那是家人聚会，看电视的客厅， 每次我从卧室走去浴室的时候， 每个人都能看到我， 每次我洗完澡 裹着浴巾走回卧室， 每个人都能看到我，	And that's where everyone would hang out and watch TV, so that every time that I walked from my bedroom to the bathroom, everyone would see me, and every time I took a shower and would come back in a towel, everyone would see me.
我看起来是这样。	And I looked like this.
我很尴尬， 没有安全感，我讨厌我的房间。	I was awkward, insecure, and I hated it.
我讨厌那段路，我讨厌那个阳台， 我讨厌那个房间，我讨厌那个房子。	I hated that walk, I hated that balcony, I hated that room, and I hated that house.
那就是建筑。	And that's architecture.
那种感觉，那种情绪， 那就是建筑的力量， 因为建筑并不有关于数学 也不关乎分区规划， 建筑关乎本能， 以及我们对所占有空间的 情感连接。	That feeling, those emotions that I felt, that's the power of architecture, because architecture is not about math and it's not about zoning, it's about those visceral, emotional connections that we feel to the places that we occupy.
也难怪我们有这样的感觉， 美国环境保护局的调查表明， 美国人90%的时间呆在室内。	And it's no surprise that we feel that way, because according to the EPA, Americans spend 90 percent of their time indoors.
也就是说，我们人生中 90%的时间被建筑物围绕着。	That's 90 percent of our time surrounded by architecture.
真的太久了。	That's huge.
建筑在我们不曾意识到的 多个方面形塑我们。	That means that architecture is shaping us in ways that we didn't even realize.
那让我们很容易受骗， 也非常，非常可以预测。	That makes us a little bit gullible and very, very predictable.
当我将这个建筑展示给你的时候， 我知道你在想什么： 你想到"权力" 和 "稳定" 还有"民主"。	It means that when I show you a building like this, I know what you think: You think "power" and "stability" and "democracy."
我知道因为这个建筑 是希腊人于2500年前建造的。	And I know you think that because it's based on a building that was build 2,500 years ago by the Greeks.
这是个骗局。	This is a trick.
也就是说，建筑 能够让你创造出那些 我们想通过建筑物表达含义的 情感连结。	This is a trigger that architects use to get you to create an emotional connection to the forms that we build our buildings out of.
这是个可预测的情感连结， 我们使用这个诡计 很多很多年了。	It's a predictable emotional connection, and we've been using this trick for a long, long time.
我们用这个方法 [200] 年前 建造银行。	We used it [200] years ago to build banks.
我们19世纪建造艺术博物馆。	We used it in the 19th century to build art museums.
在20世纪的美洲， 我们用它来建筑房屋。	And in the 20th century in America, we used it to build houses.
看着这些坚固的小士兵 面朝大海，挡住这些东西。	And look at these solid, stable little soldiers facing the ocean and keeping away the elements.
这真的非常非常有效， 因为建造东西真的很麻烦。	This is really, really useful, because building things is terrifying.
非常昂贵，耗时，而且很麻烦。	It's expensive, it takes a long time, and it's very complicated.
建筑房屋的人 ──发展商和政府── 他们天生就害怕创新， 他们宁可选用这些你已熟知的风格。	And the people that build things -- developers and governments -- they're naturally afraid of innovation, and they'd rather just use those forms that they know you'll respond to.
这就是为什么这样的建筑存在。	That's how we end up with buildings like this.
这是个漂亮的建筑物。	This is a nice building.
但这和现代图书馆的理念不大一样。	But it doesn't have much to do with what a library actually does today.
同一年，2004年， 这个国家的另一端， 另一个图书馆完工了， 就是这样。	That same year, in 2004, on the other side of the country, another library was completed, and it looks like this.
在西雅图。	It's in Seattle.
这个图书馆关于在数字时代 我们是如何消费媒体的。	This library is about how we consume media in a digital age.
这是城市的一个新型的公众设施， 一个可以聚会，读书和分享生活的地方。	It's about a new kind of public amenity for the city, a place to gather and read and share.
怎么会这样呢 在同一年，同一个国家， 两个建筑物，都是图书馆， 却有着巨大的差别？	So how is it possible that in the same year, in the same country, two buildings, both called libraries, look so completely different?
答案就是，建筑风格是摇摆不定的。	And the answer is that architecture works on the principle of a pendulum.
一边是创新， 建筑不断被推进， 加入新的科技元素， 根据我们现代生活所需 新的类型，新的方案。	On the one side is innovation, and architects are constantly pushing, pushing for new technologies, new typologies, new solutions for the way that we live today.
我们穿黑色，我们压力很大， 你认为我们很可爱， 而我们内心已死， 因为别无选择。	We wear all black, we get very depressed, you think we're adorable, we're dead inside because we've got no choice.
我们走向另一端 重新找回那些我们了解到 你们热爱的符号。	We have to go to the other side and reengage those symbols that we know you love.
我们这样做，你们很开心。 我们感受到客满演出， 于是又开始试验 我们将钟摆推来推去， 推来推去 过去的300年里我们这样做， 过去的30年也是如此。	So we do that, and you're happy, we feel like sellouts, so we start experimenting again and we push the pendulum back and back and forth and back and forth we've gone for the last 300 years, and certainly for the last 30 years.
好的，30年前 我们刚走过70年代。	Okay, 30 years ago we were coming out of the '70s.
建筑师们忙着试验某种叫做 粗野主义的艺术。	Architects had been busy experimenting with something called brutalism.
它是关于混凝土的艺术...	It's about concrete.
小窗户，毫无人性的巨大规模。	Small windows, dehumanizing scale.
这些都很艰难。	This is really tough stuff.
然后我们快进入80年代了， 我们开始重拾某些符号。	So as we get closer to the '80s, we start to reengage those symbols.
我们把钟摆推回到另一个方向。	We push the pendulum back into the other direction.
你们热爱这样的建筑形式， 我们就将它们改造升级。	We take these forms that we know you love and we update them.
我们加入霓虹 我们加入柔和的粉蜡色 我们使用新型材料。	We add neon and we add pastels and we use new materials.
人们爱死这样的建筑了。	And you love it.
我们不断地建造。	And we can't give you enough of it.
我们取材自齐本德尔式衣橱 将它们变成摩天大楼， 这些摩天大楼像是 用玻璃制造的中世纪古堡。	We take Chippendale armoires and we turned those into skyscrapers, and skyscrapers can be medieval castles made out of glass.
这些建筑变得更大， 设计更大胆，更色彩丰富。	Forms got big, forms got bold and colorful.
小矮人式的柱子。	Dwarves became columns.
太疯狂了。	It was crazy.
这就是80年代，很酷。	But it's the '80s, it's cool.
这就是后现代。	This is the thing about postmodernism.
这就是符号的意义。	This is the thing about symbols.
简单、便宜， 我们不是建造住所， 而是建造记忆中的住所。	They're easy, they're cheap, because instead of making places, we're making memories of places.
因为我知道， 我想各位也都知道， 这不是意大利托斯卡纳。	Because I know, and I know all of you know, this isn't Tuscany.
这是俄亥俄州。	This is Ohio.
在80年代末，90年代初期， 我们开始试验解构主义。	In the late '80s and early '90s, we start experimenting with something called deconstructivism.
我们找出历史符号， 我们用新的电脑辅助设计技术， 我们推出新的艺术作品， 各种形式撞击在一起。	We throw out historical symbols, we rely on new, computer-aided design techniques, and we come up with new compositions, forms crashing into forms.
这太学术太费脑筋了， 这样的建筑非常不受欢迎， 建筑师们疏远了人群。	This is academic and heady stuff, it's super unpopular, we totally alienate you.
通常来说，钟摆将会摇去另一个方向。	Ordinarily, the pendulum would just swing back into the other direction.
随后，有意思的事情发生了。	And then, something amazing happened.
在1997年，这个建筑投入使用了。	In 1997, this building opened.
这是在西班牙毕尔巴鄂的古根海姆博物馆， 由弗兰克·盖里设计建筑。	This is the Guggenheim Bilbao, by Frank Gehry.
就是这个建筑 颠覆了世界与建筑的关系。	And this building fundamentally changes the world's relationship to architecture.
保罗·戈德伯格说，毕尔巴鄂的 这个建筑很难得地 获得到批评家、学术界人士， 还有普通民众 的一致好评。	Paul Goldberger said that Bilbao was one of those rare moments when critics, academics, and the general public were completely united around a building.
纽约时报称这个建筑为 一个奇迹。	The New York Times called this building a miracle.
在这个建筑完工后， 毕尔巴鄂的游客数量 增长了25倍。	Tourism in Bilbao increased 2,500 percent after this building was completed.
他是第一位明星建筑师。	He is our very first starchitect.
这样的建筑设计怎么会 受到热烈欢迎 -- 它们狂野又激进 -- 全世界范围内怎么会 无所不在呢？	Now, how is it possible that these forms -- they're wild and radical -- how is it possible that they become so ubiquitous throughout the world?
这要归功于媒体成功地包装， 它们很快速地传递了信号： 这建筑形式有文化内涵，而且可以吸引游客。	And it happened because media so successfully galvanized around them that they quickly taught us that these forms mean culture and tourism.
人们与这样的建筑形式 建立了情感联系。	We created an emotional reaction to these forms.
世界上的市长们也是这样想的。	So did every mayor in the world.
所有市长都认为 如果所在城市有这样的建筑， 他们就有文化，有游客。	So every mayor knew that if they had these forms, they had culture and tourism.
这样的现象出现在 进入21世纪的那些年 也捧红了一些其他的明星建筑师。	This phenomenon at the turn of the new millennium happened to a few other starchitects.
想想你是如何消费建筑。	Because think about how you consume architecture.
一千年前， 你需要步行到隔壁村落去看一个建筑。	A thousand years ago, you would have had to have walked to the village next door to see a building.
交通运输业的高速发展： 你可以乘船，你可以搭飞机， 你可以当一名游客。	Transportation speeds up: You can take a boat, you can take a plane, you can be a tourist.
科学技术高速发展： 你可以在报纸上、电视上欣赏建筑， 最终，我们都成为了建筑摄影师， 建筑不再只是实体。	Technology speeds up: You can see it in a newspaper, on TV, until finally, we are all architectural photographers, and the building has become disembodied from the site.
现在，建筑无处不在， 这意味着通讯的速度 终于赶上了建筑发展的速度。	Architecture is everywhere now, and that means that the speed of communication has finally caught up to the speed of architecture.
建筑发展非常迅速。	Because architecture actually moves quite quickly.
观赏评论一个建筑不需要很久。	It doesn't take long to think about a building.
但建成一座建筑却要很长时间， 三到四年， 在这期间，建筑师要设计 2个，8个，或 也许是100个其他建筑， 他们甚至不知道自己4年前 设计的建筑成功与否。	It takes a long time to build a building, three or four years, and in the interim, an architect will design two or eight or a hundred other buildings before they know if that building that they designed four years ago was a success or not.
因为建筑里没有一个意见反馈处。	That's because there's never been a good feedback loop in architecture.
因此我们最终得到这样的建筑。	That's how we end up with buildings like this.
这样的事再也不会发生了， 我想， 因为我们处在 最伟大的建筑革命的边缘， 这是继发明混凝土， 发明钢铁，或是发明电梯之后的 一次媒体革命。	It's never going to happen again, I think, because we are living on the verge of the greatest revolution in architecture since the invention of concrete, of steel, or of the elevator, and it's a media revolution.
