Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
The results held across all three pollutants, with the odds of death 7% worse for NO2, 4% worse for PM10 and 19% worse for SO2.	３汚染物質全てについての結果は、NO２で死亡率が7％悪くなり、PM10で４％、SO2で19％となった。
Further analysis suggested that of the three pollutants, only SO2 was associated with deaths within a baby's first 28 days.	さらに詳細な分析では、これらの３つの汚染物質のうち、SO2だけが生後28日以内に死亡する乳児との関連性を示唆した。
The study was unable to prove whether high levels of air pollution were to blame for the increased risk of death in those areas.	この研究では、高レベルの大気汚染がこれらの地域の死亡リスク増加要因なのかどうかは証明できなかった。
It also did not take into account levels of indoor air pollution.	また、研究では屋内の大気汚染レベルも考慮していなかった。
Prof Mireille Toledano, an expert in population child health at Imperial College London, said the study confirmed that air pollution is a major public health hazard, adding that current standards are failing to protect people.	インペリアル・カレッジ・ロンドンで小児保健人口の専門家であるミレーユ・トレダノ教授は、この研究は大気汚染が公衆衛生上の重大な危険であることを裏付けたとし、現行基準では人々を保護できていないと述べた。
She said the latest study had a number of limitations.	同教授は、この最新研究には多くの限界があるとした。
It looked at average pollution levels over relatively large areas while in reality levels can vary greatly over a small distance - meaning the babies' true exposure was not captured.	同研究では、比較的広域の平均汚染レベルに注目しているが、現実ではレベルは短距離内で大幅に異なる、つまり、乳児が実際にさらされている状況は捉えられていなかったということになる。
The study also did not take into account fluctuations in air pollution with the weather or over seasons, and did not take into account where the mother spent her pregnancy or factors such as maternal smoking.	また同研究は、天候や季節による大気汚染の変動や、母親が妊娠中にどこにいたかや母親の喫煙などの要因も考慮にいれていなかった。
Toledano said it was also unclear how factors like birthweight were accounted for.	トレダノ教授は、出生体重などの要因をどのように考慮するかについても不明瞭であると指摘した。
"It is showing there is some kind of additional risk from air pollution for infant death but the way that it has been set up is quite a crude analysis," said Toledano.	同教授は、「この研究は、乳幼児の死亡に関して大気汚染によるなんらかの付加的リスクがあることを示しているが、設定方法が非常に大雑把な分析である」と述べた。
Dr Penny Woods, the chief executive of the British Lung Foundation, said action must be taken to tackle the public health crisis of air pollution - including introducing clean air zones in the most polluted cities.	英国肺財団の最高責任者、ペニー・ウッズ博士は、大気汚染の最もひどい都市にクリーンエアゾーンを導入するなど、大気汚染による公衆衛生上の危機に取り組む行動をとらなければならないと述べた。
"The evidence linking infant mortality and air pollution is still emerging but Dr Kotecha's study, which suggests babies born in the UK's most polluted areas see a significantly increased risk of death, should be a wake-up call to government," she said.	同博士は、「乳幼児死亡と大気汚染を関連づける証拠を発見している段階ではあるが、英国の最も大気汚染がひどい地域で生まれた乳児の死亡リスクは著しく増大するとするとのコテカ博士の研究は、政府に対する警鐘となるはずだ」とした。
A second study found that exposure to PM10 from traffic during pregnancy and children's early life was linked to a slightly lower lung function of the children at eight years old - although the effect was no longer seen by the time the children were 15.	第二の研究では、妊娠中および幼少期に交通から出るPM10に晒された場合、子供が8歳の時点での肺機能に若干の低下があることと関連があるが、子供が15歳になるまでにはこの影響はみられなくなることがわかった。
Woods said the study mirrored previous findings, adding that children cannot protect their own lungs.	ウッズ博士は、この研究は前回の研究結果を反映するものだとし、子供達は自分たちの肺を守ることができないと述べた。
"Both these studies concentrate on the damage done by air pollution to some of the most vulnerable members of our society - the very young," she said.	同博士は、「この２つの研究はどちらも、私たちの社会で最も弱い人たちの一部、つまり子供達への大気汚染によるダメージに焦点を合わせている」とした。
Muslim Woman Says Company Didn't Hire Her As She Wanted To Pray At Work	ムスリム女性、企業が職場での祈り希望を理由に雇用せずと主張
Shahin Indorewala is suing the firm, claiming that she was discriminated against.	シャヒン・インドレワラさんは、差別されたとしてこの企業を告訴している。
Shahin Indorewala had a job working with children with autism, but she wanted to gain more experience in marketing.	シャヒン・インドレワラさんは、自閉症をもつ子供たちを世話する職についていたが、マーケティングでの経験を積みたいと望んでいた。
So she applied to Fast Trak Management, a small company that bills itself as "the number 1 marketing firm in the Northern Virginia Area."	そのため、インドレワラさんは、「北バージニア地域でナンバーワンのマーケティング会社」と宣伝する小規模会社ファスト・トラック・マネジメント社に応募した。
Now, Indorewala is suing the company, claiming that she was discriminated against because of her religion when she asked to use break time to pray.	インドレワラさんは、祈りのために休憩時間を使いたいと申し出た際、自分の宗教を理由に差別されたとして、現在この企業を告訴している。
In a lawsuit filed in US District Court on Tuesday, Indorewala said she was "humiliated" by Fast Trak's CEO mocking her Muslim beliefs.	火曜日、連邦地方裁判所に起こされた訴訟の中で、インドレワラさんは、ファスト・トラックの最高責任者がイスラム信仰を嘲笑し「屈辱をうけた」とした。
The CEO, Ramses Gavilondo, disputes her version of events, saying Indorewala decided she did not want the job.	CEOのラムセス・ガビロンド氏は、インドレワラさんがその職につきたくないと決めたとして、インドレワラさんの状況説明に異議を唱えている。
The Council on American-Islamic Relations, which brought the lawsuit on Indorewala's behalf, held a brief news conference outside Fast Trak's Falls Church office on Wednesday, when CAIR labeled Fast Trak "a company that disregarded federal law and chose not to hire her because of her faith."	インドレワラさんの代理で提訴した在米イスラム改善協会は、水曜日、ファスト・トラック社のフォールズ・チャーチ支社の外で短時間の記者会見を開き、ファスト・トラック社を「連邦法を無視し、信仰を理由にインドレワラさんを雇用しないと決めた会社」とみなした。
In a video of the news conference, Indorewala said that her first interview went well, and that she was asked to return for a second interview.	記者会見の録画で、インドレワラさんは最初の面接はうまくいき、2回目の面接に来るように言われたと語った。
At that interview, Indorewala said, an assistant manager at Fast Trak told her that the company offers a long lunch break.	インドレワラさんは、その面接の際、ファスト・トラック社の次長が会社は長い昼休みを提案していると告げたと述べた。
Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.	インドレワラさんは、勤務時間中に５分間の祈りの時間が２回とれるよう、短めの昼休みをとれないかと頼んだ。
She promptly ended the interview.	次長はその面接を即時に終えた。
She said, 'That's not going to work.	「そういうわかにはいかない。
We have fixed hours here,' " Indorewala said.	ここでは決められた時間がある」と次長が言ったとインドレワラさんは述べた。
According to the lawsuit, the assistant manager then allegedly walked with Indorewala to Gavilondo, and said that the job's hours wouldn't work for Indorewala.	訴訟によると、その次長はインドレワラさんと共ににガビロンド氏のところまで歩き、勤務時間が彼女には合わないと告げたとされている。
Indorewala said she then explained to Gavilondo that she prays five times a day.	インドレワラさんは、その後、次長がガビロンド氏にインドレワラさんは1日に5回祈ると説明した、と語った。
At that point, Indorewala says, Gavilondo pointed to her headscarf and made mocking comments about religion.	その時点で、ガビロンド氏はインドレワラさんのヘッドスカーフを指さし、宗教に対する嘲笑的なコメントをしたという。
"Am I really being made fun of for my religion in public in what's supposed to be a professional workplace? . . .	専門的な職場であるはずの公共の場で、本当に自分の宗教をからかわれているのか？
Clearly I was being discriminated against because of my religion," Indorewala said at the news conference.	明らかに、私は宗教を理由に差別されていた」とインドレワラさんは記者会見で述べた。
That was it.	そういうことだった。
I just kind of quietly left the office.	私は何も言わずにただ会社を去った。
I didn't want to create a scene or anything, but I was pretty hurt and pretty embarrassed.	騒ぎなどを起こしたくなかったが、とても傷つき、とても当惑した。
Reached by phone on Thursday, Gavilondo said he didn't reject Indorewala's application; instead, he said, she was the one who decided she did not want the job.	木曜日にガビロンド氏と電話で話したところ、同氏はインドレワラさんの応募を拒否しなかった、むしろ、その仕事を希望しないと決めたのはインドレワラさんだったと述べた。
Someone came for an interview.	誰かが面接に来た。
They didn't want to work here. . . .	ここでは働きたくなかった。
"It's like me going to a store to buy Kit-Kats, and then I don't want to eat the Kit-Kats," he said.	キットカットを買いに店に行こうと思ったが、やっぱりキットカットは食べたくない、みたいものだ」と同氏は語った。
He said he recalled that Indorewala brought up her Muslim faith, but he did not specifically recall her request for five-minute prayer breaks during the day.	ガビロンド氏は、インドレワラさんは自分のイスラム信仰を話題にしたが、勤務中の５分間の祈り休憩のリクエストについては特に覚えていないとした。
And he said he had not made fun of her hijab: "I'm not a fashion expert.	さらに、ヒジャブをからかうようなことは言っていないとし、「私はファッション専門家ではない。
People can wear whatever they want."	皆、着たいものを着ればいい」と述べた。
Scott Morrison will consider Donald Trump's formula, but it's unlikely he'll follow it	スコット・モリソン首相、ドナルド・トランプ大統領方式を検討はするが従わない見通し
And Morrison does not have to say "fake news" to echo the President at times.	そして、モリソン首相は大統領に同調して何度も「フェイクニュース」だという必要がなくなる。
He complained about the media on Wednesday for running "completely false" and "completely misleading" accounts of his climate policies.	同首相は、水曜日、政府の気候変動政策に関して「まったく間違った」そして「完全に誤解を招く」説明を報道したとしてメディアに抗議した。
So when Morrison needs answers on how to win the next election, he will no doubt consider Trump's formula - and whether it works in November 2020.	それなら、モリソン首相が次期選挙でどう勝利をおさめるかの回答を必要とするなら、疑いなくトランプ大統領方式とそれが2020年11月の選挙に効果があるのかを検討するだろう。
But political tactics do not transfer so easily across the Pacific.	しかし、政治方策はそう簡単には太平洋を超えられない。
Those around Morrison are not planning a Trumpification of the Prime Minister for the simple reason that the intensely partisan tactics that work in the United States cannot work in a world where elections are won and lost in the centre.	モリソン首相の側近らは、米国では効果のある極めて党派的な戦術は、選挙で中道派が勝ち負けする世界ではうまくいかないという単純な理由で首相のトランプ化は予定していない。
Compulsory voting stays the hand of anyone who wants to appeal to the edge and forget the middle.	義務投票制は左派や右派にはアピールして中道派は無視したいという人の行動を抑える。
Trump is divisive in Australia and his friendship with Morrison may alienate some Australian voters, which means copying the President is no guarantee of victory.	オーストラリアではトランプ大統領に対する見方が分かれており、モリソン首相とトランプ大統領の友好関係は、オーストラリアの一部の有権者離れを引き起こす可能性があり、大統領のマネをすることに勝利の保証はないということだ。
Some of Morrison's critics on the left see a world they fear, or perhaps secretly the almighty battle they want, when they make the Prime Minister out to be like Trump.	モリソン首相に対する一部の左派評論家らが首相をトランプであるかのように言えば、彼らが恐れている世界、あるいは、おそらく密かに望む全能の戦いを見ることになる。
Imagine Morrison if that were so.	モリソン首相がもしトランプのようだったらどうなるだろうか。
He would not only skip the United Nations climate summit.	国連の気候変動サミットを欠席するだけではすまないだろう。
He would ridicule it as a waste of time.	サミットなど時間の無駄だと嘲るかもしれない。
The fact that Morrison used his speech to the UN to talk about action on climate shows he does not want to lose voters in the middle who expect their political leaders to take it seriously.	モリソン首相がトランプ大統領の国連演説を気候変動に向けた活動について話すために利用したという事実は、政治的リーダーに真面目に取り組んでもらいたいと願う中道派の有権者を失いたくないことを示している。
And there is a gulf between the two leaders on the right of a superpower to dictate terms in the world.	世界の関係に影響を与える超大国の権利という点で、この２人のリーダーには大きな隔たりがある。
"The future does not belong to globalists.	「世界主義者に未来はない。
The future belongs to patriots," Trump said at the United Nations on Tuesday.	未来は愛国者のものだ」とトランプ大統領は、火曜日、国連で述べた。
The fact that Morrison used his speech to the UN to talk about action on climate shows he does not want to lose voters in the middle.	実際に、モリソン首相が気候変動に向けた活動について話す際に、トランプ大統領の国連での演説を利用したということは、中間層の有権者を失いたくないことを示している。
What that means may require long study, but it is an immediate contrast with the Australian support for negotiated settlements between countries rather than the will of one group of patriots imposed on others.	それがどんな意味を示すのかについては長い考証が必要だろうが、愛国者の一群が他国に押しつける考えとういうより、国家間交渉による同意に対するオーストラリア側のサポートとの対比であることは一目瞭然である。
"We will be more secure and prosperous in a global order based on agreed rules, not one based on the exercise of power alone," Morrison told Asialink in Sydney in June.	6月にシドニーで開かれたアジアリンクで、モリソン首相は「権力の行使だけに基づいたものではなく、合意されたルールに基づいた国際的な秩序の中で、私たちはより豊かで安心できるようになるだろう」と述べた。
Zimbabwe: Sanctions Slow Down Zim Progress	ジンバブエ：経済制裁によるジンバブエ発展の遅れ
Zvamaida Murwira in NEW YORK, United States	ズヴァメイダ・ムウィラ 　米国、ニューヨーク
Illegal and ruinous sanctions imposed on Zimbabwe by the West have markedly slowed down the country's development, President Mnangagwa has said.	ムナンガグワ大統領は、ジンバブエに対する西側諸国による違法かつ法外な制裁のせいで、国の発展が著しく遅れていると語った。
He further dismissed the embargo as an attack on the rights of citizens.	更に、国民への攻撃であるとして通商禁止を却下した。
The President said this here during his address to the 74th Ordinary Session of the United Nations General Assembly (UNGA 74).	大統領は、ここ第７４回国連総会常会（UNGA 74）におけるスピーチで上記の内容を語った。
He applauded Southern Africa for solidly standing by Zimbabwe in calling for the unconditional removal of the two-decades-old embargo.	彼は、２０年にわたるジンバブエの通商禁止無条件解除要求の動きを堅固に支えてきたアフリカ南部を称賛した。
While Zimbabwe had registered significant progress in providing safety nets for vulnerable groups of society, the President said, more could have been achieved had it not been for the illegal sanctions.	ジンバブエは、社会的弱者救済という点で顕著な進歩を見せてきたが、違法な制裁がなければより多くのことが達成できたであろう、と大統領は語った。
These achievements are in spite of the continued albatross of the illegal economic sanctions.	違法経済制裁が重荷となり続けていたにも関わらず、これらの成果を上げてきた。
"Furthermore, sanctions are slowing down our progress, inhibiting our economic recovery and punishing the poorest and most vulnerable," he said.	「更に、制裁は我々の発展を遅らせ、景気回復を妨げ、最も貧しい弱者たちを罰している。」と語った。
The President said Zimbabwe was in a transition and was determined to overcome the reality that it had a collapsed economy and currency due to illegal sanctions.	同大統領は、ジンバブエは転換期にあり、不法な制裁によって破綻した経済と通貨が存在する現実に立ち向かう覚悟があると話した。
Namibian President Hage Geingob weighed in, calling for the unequivocal lifting of sanctions imposed on Zimbabwe so that Harare could pursue its economic development agenda.	ナミビアのハーゲ・ガインゴブ大統領も、ハラレが経済開発を推進できるよう、ジンバブエに対する違法制裁の無条件解除要求に賛同している。
President Mnangagwa urged the United Nations (UN) to assert its authority and honour its principles by reining in countries that imposed the sanctions.	ムナンガグワ大統領は、制裁を発動した国々を国連（UN）が制御することで、その権限と尊厳を行使するよう促した。
As the United Nations, let us boldly honour the principles of our Charter.	国連として、憲章原則を勇敢に守りましょう。
The wrongs of the world must be set right.	世界における間違いは正されるべきである。
Unfair practices must be challenged; injustice, racism and all forms of oppression of man by man must be opposed and rejected.	不公平な行為には意義を申し立てるべきであり、不正や人種差別などあらゆる形の人間による人間の弾圧は抵抗し拒否すべきである。
"My country applauds the South African Development Community, the African Union and all those who stand with us in demanding the immediate and unconditional removal of these illegal sanctions," said President Mnangagwa.	「我が国は、南部アフリカ開発共同体、アフリカ連合、そして違法制裁を直ちに無条件解除するという要求において我々を支援してくれた全ての人を称賛する。」とムナンガグワ大統領は語った。
Those that imposed these illegal sanctions must heed this call and lift them now.	これら不法制裁を課した国々は、今すぐこの要求に応え制裁を解除すべきである。
Cooperation is a win-win game.	協力すれば両者とも勝てる。
Sanctions are a lose-lose game.	制裁があれば両者とも負ける。
Zimbabwe deserves a restart.	ジンバブエには再生する権利がある。
The West, specifically the US and the European Union (EU), imposed sanctions on Zimbabwe at the turn of the millennium in protest over the irreversible land reform programme that sought to correct land ownership imbalances that had been inherited from the racist colonial regime.	西側諸国、特に米国と欧州連合（EU）は、２０００年代初期、人種差別的な植民地体制から引き継いだ土地所有権の不平等を是正する目的の、不可逆的な土地改革計画に抗議するとして、ジンバブエに対して制裁を課した。
Both the US and the EU claim to be champions of democracy and human rights, yet they are stifling economic growth in Zimbabwe through the maintenance of the racist sanctions.	米国とEUの両者は、民主主義と人権の擁護者であると謳っているが、人種差別的な制裁を続けることでジンバブエの経済成長を抑圧している。
Analysts have suggested that the West was using the sanctions as a ploy to effect regime change through making living standards difficult in Zimbabwe so that citizens turn against their Government.	アナリスト達は、西側諸国が、ジンバブエの生活水準を困難にすることで、国民が政府に対して不信感を持ち政権交代に影響を与えられると考えて、制裁を策略として利用している、と示唆している。
The 39th SADC Summit of Heads of State and Government held in Tanzania noted the adverse impact on Zimbabwe's economy and the region at large, of the prolonged economic sanctions, and expressed solidarity.	タンザニアで開催された第３９回南部アフリカ開発共同体首脳会議では、長引く経済制裁によるジンバブエ経済と地域全体への悪影響について言及し、団結を表明した。
SADC called for the immediate lifting of the sanctions to facilitate socio-economic recovery in the country, and declared October 25th as the date on which SADC member States can collectively voice their disapproval of the sanctions through various activities and platforms until the sanctions are lifted.	南部アフリカ開発共同体は、国の社会的・経済的回復を促すために制裁を即刻解除することを要求し、10月25日をSADCの参加諸国が団結して制裁反対の声を上げ、制裁が解除されるまで様々な活動やプラットフォームで抗議する日だと宣言した。
Japan sees North Korea missile, China space activity as threat	北朝鮮のミサイルと中国の宇宙開発を脅威とみる日本
Japan has raised its caution level about North Korea's missile capability, saying in a defense report that the country resumed missile tests while taking no concrete denuclearization steps and had succeeded in making miniaturized warheads.	防衛白書によると、日本は、具体的な非核化手段をとらずにミサイル実験を再開し、核弾頭の小型化に成功したとする北朝鮮のミサイル能力に対する警戒レベルを上げた。
The annual defense paper, approved Friday by the Cabinet, underscores Japan's fear of being targeted by its neighbor.	金曜に議会で承認された年次防衛白書は、近隣国のターゲットであるという日本の不安を強調する形となった。
Its reaction to the North's recent tests contrasts to the low-key U.S. response.	北朝鮮による最近の実験に対するその反応は、米国の控えめな反応とは対照的である。
Since the second U.S.-North Korea summit collapsed this year, North Korea has fired 10 short-range missiles and projectiles deemed new and upgraded.	二度目の米朝首脳会合が今年決裂して以来、北朝鮮は新型改良されたとされる短距離ミサイルや砲弾を１０発を発射している。
The defense paper also highlights that China's threat is expanding into space from the regional seas.	防衛白書は、中国による脅威が周辺海域から宇宙へと拡大しているとも報告している。
Japan is also bolstering its defense role under its alliance with the U.S. and is launching a space unit and measures against cyber and electromagnetic attacks.	日本もまた、米国との協定における防衛機能を強化し、宇宙軍およびサイバー攻撃・電磁波攻撃対策に乗り出すことになっている。
Brexit news: Britain on brink of 'watershed moment' as Remainers to accept 'they are wrong'	ブレグジットニュース：残留派は「間違っている」と容認し「重大な分岐点」間近の英国
Caller Bob insisted MPs seeking to oppose Brexit in Parliament will soon realise they are in the "wrong" position.	電話をかけたボブは、議会でブレグジットに反対しようとしている議員らは、まもなく自分たちが「誤った」位置にいると悟るだろうと主張した。
Members of Parliament have been engaged in a bitter battle with Boris Johnson and his Cabinet in an attempt to make sure Britain does not leave the European Union without an official agreement.	国会議員らは、英国が決して正式な合意なしに欧州連合から離脱しないよう、ボリス・ジョンソンおよびその内閣との激論を繰り広げてきた。
Phoning in Mike Graham's show on talkRADIO, Bob said: "I think it's a watershed moment because the Brexit blockers in Parliament are beginning to show their true colours."	トークラジオのマイク・グレイアムの番組に電話をかけたボブは「議会のブレグジット妨害者たちが真の姿を見せ始めており、転機が来たと思う」と語った。
It's not that they want a deal for Brexit, they just don't want Brexit.	ブレグジットの合意を望んでいるのではなく、ただ離脱したくないだけだ。
They're getting more and more outspoken and frustrated because they are beginning to realise they are fundamentally wrong.	彼らは、自分たちが基本的に間違っていることが分かり始めたため、ますます苛立ち、ずけずけとものを言うようになっている。
Bob continued: "The reason for that, the fundamental reason for that, is that they are defying the people of this country who are sovereign."	「その理由は、その根本的な理由は、彼らがこの国の主権者である国民に反していることにある。」とボブは続けた。
It all goes back to one fundamental thing, this wonderful thing that we have in this country - that is our Constitution.	全ては一つの根本的なもの、この国にあるすばらしいもの、つまり、我々の憲法に立ち返るということだ。
A lot of people say we don't have a Constitution, well, we do.	この国に憲法はないという人もたくさんいるが、いいや、憲法はある。
Boris Johnson on Thursday refused to apologise for describing attempts to block a no-deal break with the EU as the "surrender act."	ボリス・ジョンソンは、木曜日、EUとの合意なき離脱を回避する試みを「降伏法」と表現したことに関して謝罪を拒否した。
But the Prime Minister acknowledged that he would have to be able to "reach out" to opposition MPs if he was to secure their support for any new deal he negotiated with the EU.	しかし、同首相は、EUと交渉した新たな合意内容のいずれかでも野党議員の支持を獲得できていたら「歩み寄る」ことはできただろうと認めた。
Speaking to BBC South, Mr Johnson said: "I need to reach out across the House of Commons."	ジョンソン首相は、「下院を超えて働きかける必要がある」とBBCサウスに語った。
Mr Barnier told reporters: "We are still ready to work on any new legal and operational proposal from the EU."	バルニエ氏は記者団に対し、「EUからの新たな法的運営提案について取り組む用意はまだある」と話した。
Following a fiery debate in the Commons, Speaker of the House John Bercow urged MPs to give up negative conduct.	下院での激しい議論をうけ、ジョン・バーコウ下院議長は否定的な行為は控えるように議員らに促した。
Mr Bercow said: "I think there's a widespread sense across the House and beyond that yesterday the House did itself no credit."	バーコウ氏は、「昨日は下院の名誉になることがなかったという認識が下院を超えて外にも大きく広がったと思う」と述べた。
There was an atmosphere in the chamber worse than any I've known in my 22 years in the House.	22年間下院にいるが、その中でも最悪な議場の雰囲気だった。
On both sides passions were inflamed, angry words uttered, the culture was toxic.	どちら側も感情がたぎり、口論になり、ストレスのたまる雰囲気だった。
Trump Attacks Whistleblower Sources, Suggests Complaint Is Treason: Reports	トランプ大統領、内部告発は国家反逆罪と示唆し告発情報筋を攻撃：報道
President Donald Trump on Thursday attacked anyone involved in the whistleblower complaint regarding his dealings with Ukraine as "almost a spy" and suggested their actions to expose his alleged impropriety were "treason," reported The New York Times and the Los Angeles Times.	ドナルド・トランプ大統領は、木曜日、ウクライナとの折衝に関する内部告発関係者を「ほとんどスパイだ」と非難し、不適切とされる同大統領の言動を暴露した行動を「反逆罪」と示唆した、とニューヨーク・タイムズ紙とロサンゼルス・タイムズ紙が伝えた。
The president made the remark as acting Director of National Intelligence Joseph Maguire testified before the House Intelligence Committee about the complaint, which prompted House Speaker Nancy Pelosi (D-Calif.) on Tuesday to announce the opening of an impeachment inquiry into Trump.	大統領の発言は、ジョゼフ・マグワイア国家情報長官代理が下院情報委員会でこの告発について証言したことを受けたもので、この証言により、ナンシー・ペロシ下院議長（カリフォルニア州民主党）が火曜日に同大統領に対する弾劾調査の開始を発表するに至った。
The whistleblower, an unnamed U.S. intelligence officer, alleges several White House officials accused Trump of pressuring Ukrainian President Volodymyr Zelensky during a July phone call to investigate former Vice President Joe Biden and his son Hunter.	匿名の連邦情報員である内部告発者は、トランプ大統領が6月の電話会談中、ジョー・バイデン前副大統領と息子のハンター氏を調査するよう、ウクライナのヴォロジミール・ゼレンスキー大統領に圧力をかけたと複数の米政府当局者が訴えたと主張している。
Biden is a front-runner in the Democratic race to challenge Trump's reelection in 2020.	バイデン氏は、2020年の大統領再選においてトランプ大統領に対する民主党選挙戦の最有力候補である。
The White House then attempted to cover up the exchange, according to the complaint.	告発によると、その後、ホワイトハウスはそのやりとりを隠蔽しようとしたとのこと。
The Los Angeles Times posted audio of Trump's spy remarks he reportedly made in front of a crowd of staff from the United States Mission to the United Nations in New York City.	ロサンゼルス・タイムズは、ニューヨーク市で米国国連使節の職員らを前にトランプ大統領が言ったとされるスパイ発言の録音音声を掲載した。
"Basically, that person never saw the report, never saw the call, and he never saw the call - heard something and decided that he or she or whoever the hell it is - they're almost a spy," Trump said.	トランプ大統領は、「基本的に、その人物は報告書をまったく見ていなかったし、電話会談をまったく見ていなかった、電話を全く見ていなかったんですよ、耳にしたことだけで決めつけた、誰だか知らんが彼あるいは彼女は、スパイのようなものだ」と述べた。
"Who's the person who gave the whistleblower the information?	「内部告発者に情報を提供した人物は誰なんだ？
Because that's close to a spy," the president continued.	それはスパイに等しい」と同大統領は続けた。
You know what we used to do in the old days when we were smart with spies and treason, right?	かつてアメリカがスパイや国家反逆者に厳しかった時代にはどんな処置をしていたか知っているだろう？
We used to handle it a little differently than we do now.	今とはちょっと違うやり方で対応したものだ。
No one in the U.S. has been convicted of treason ― a crime punishable by death ― in the last 70 years, according to NBC News.	NBCニュースによると、米国ではここ70年間、死刑に値する罪である国家反逆罪で有罪となった人はいない。
The House Intelligence Committee released the declassified complaint Thursday ahead of Maguire's hearing.	下院情報特別委員会は、木曜日、マグワイヤ氏の公聴会に先立ち、機密扱いから解除されたこの申し立てを公表した。
The complainant alleges Trump's call with Zelensky amounted to an "abuse of his office for personal gain" and that White House officials were directed by White House lawyers to store a transcript of the call in an electronic system used to handle classified information.	告訴人は、トランプ大統領のゼレンスキー大統領との通話内容は「私利のための職権濫用」にあたり、ホワイトハウス職員らは政府法務顧問から通話記録を機密情報処理用の電子システムに保存するよう指示されたと主張している。
Maguire, whom Trump appointed to head the U.S. intelligence community last month, testified Thursday that he believed the whistleblower had "acted in good faith" when filing the complaint.	トランプ大統領が先月、情報活動コミュニティの長官に指名したマグワイヤ氏は、内部告発者は提訴した際「誠意を持って行動した」と信じていると木曜日に証言した。
"I have every reason to believe they have done everything by the book and followed the law," he told the committee.	マグワイヤ氏は「彼らが定石どおりに、そして、法に従って何もかも行ったと考えるのは至極当然である」と委員会で述べた。
House Intelligence Committee Chairman Adam Schiff (D-Calif.) condemned Trump's attacks on the whistleblower and his or her sources.	アダム・シフ下院情報委員長（カリフォルニア州民主党）は、内部告発者とその情報筋に対するトランプ大統領の攻撃を非難した。
"The President's suggestion that those involved in the whistleblower complaint should be dealt with as "we used to do" for "spies and treason" is a reprehensible invitation to violence against witnesses in our investigation," Schiff tweeted.	シフ委員長は、「内部告発に関与した人物たちを『かつて米国がスパイや反逆者にしてきた』ように扱うべきだという大統領の提案は、われわれの捜査の証人たちに対する脅しを招く、非難されるべき行為である」とツィートした。
All Americans must denounce such witness intimidation.	全ての米国人が、あのような証人威迫を糾弾する必要がある。
Fife Flyers expect toughest test yet in Belfast Giants double-header	ファイフ・フライヤーズ　ベルファスト・ジャイアンツとのダブルヘッダーで最も厳しい試練を覚悟
Fife Flyers will face their toughest test of the season to date when they take on Belfast Giants in a Challenge Cup double-header this weekend.	ファイフ・フライヤーズは、今週末ベルファスト・ジャイアンツとのチャレンジカップ、ダブルヘッダーにて今季これまでで最も厳しい試練に直面する。
That's according to head coach Todd Dutiaume who wants his team to rise to the challenge against last season's Elite League champions, with a ferry trip to the Northern Irish capital on Saturday followed by the return match at Fife Ice Arena on Sunday.	これはヘッドコーチのトッド・ドゥティオーム氏によるものだが、土曜に北アイルランドの首都にフェリーで出向き、前期エリート・リーグチャンピオンと対戦、つづく日曜にはファイフ・アイス・アリーナでのリターンマッチ、という困難をチームがうまく切り抜けてほしいと彼は願っている。
"From what we've seen on tape, Belfast are an incredibly deep, well-rounded, physical and hard-working side," Dutes said.	「録画で見た感じでは、ベルファストは信じられないほど洞察力があり、よくまとまっていて、体力もあって、真摯に取り組むチームだね」とドゥーツは語った。
I imagine that will be our toughest challenge to date as a group, and we want to respond well to it.	チームとしてこれまでで一番厳しい挑戦になるんじゃないかと思うけど、頑張って受けて立ちたいと思ってるよ。
With a win and a defeat each, Flyers and Belfast both have two points after two games in Challenge Cup Group B.	チャレンジカップ、グループB内で、フライヤーズ、ベルファスト、両チームとも2試合を一勝一敗として2ポイントを獲得している。
The weekend results could go a long way towards claiming a top three finish, and a quarter-final place.	週末の試合結果は、3位以内を獲得し、そして準々決勝進出を狙う上で大きな意味を持つ可能性がある。
The Kirkcaldy side will need to find a way past former netminder Shane Owen, who moved to Belfast in the summer after an impressive season between the pipes in Fife.	カークカルディ側は、ファイフでゴールを守り素晴らしいシーズン戦績を残して、夏にベルファストに移籍した元ゴールキーパーのシェーン・オーウェンを攻略せねばならない。
"We have a tremendous amount of respect not only for Shane but all our former players," Dutiaume said.	「シェーンだけでなく、元我々チームの選手すべてに大きな敬意を払うよ」とドゥティオーム氏は語る。
He was recruited by an opposition team for a reason, and he seems to have settled in well there.	彼は当然の理由で相手チームに移籍したし、新天地でもよくやってるみたいだよ。
I'm sure we'll have an opportunity to shake hands with him after the game, but up until that point it has to be business as usual.	試合終了後には彼と握手する機会が必ずあるはずだけど、その時点まではいつもの通りやるしかない。
Instead of focusing on who we know or don't know, we have to be prepared to go into battle with these guys and grind out two crucial wins in the Challenge Cup.	知り合いがいるのかいないのかを気にするのではなく、彼らと戦いチャレンジカップの鍵を握る二勝を奪取するために備えなくちゃいけないんだ。
