India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
Having data on employee engagement is important, according to workplace culture experts.	Die Daten über das Mitarbeiter-Engagement nach den Experten der Arbeitsplatz-Kultur wichtig.
But the data are useless unless a company's custodians take action.	Aber die Daten sind nutzlos, wenn die Verwalter eines Unternehmens keine Maßnahmen ergreifen.
In fact, if a company asks employees for their feedback, it can set an expectation that change is on the way.	In der Tat, wenn ein Unternehmen Mitarbeiter nach Ihrem Feedback fragt, kann es eine Erwartung haben, dass Änderung auf dem Weg ist.
And if change doesn't come fast enough, or at all, it can breed disappointment and make employees disengaged.	Und wenn der Wandel nicht schnell genug kommt, oder überhaupt nicht, kann dies Enttäuschungen züchten und Angestellte demotivieren.
"If you're going to ask for 4,000 suggestions, you need to be prepared to have 4,000 conversations," said Russell Raath, president of consulting at business management firm Kotter International, who has seen companies make the mistake of relying too much on data collection.	"Wenn Sie nach 4.000 Anregungen fragen, müssen Sie bereit sein, 4.000 Gespräche zu haben", sagte Russell Raath, President of Consulting bei der Business Management Firma Kotter International, der Unternehmen gesehen hat, die sich zu sehr auf das Sammeln von Daten verlassen haben.
"Because if you don't follow through, employees will wonder, 'Did you really hear me?	"Denn wenn Sie nicht folgen werden Mitarbeiter sich fragen, "Habt ihr mich wirklich gehört?
Do you care?	Kümmern Sie sich darum?
And if you don't care, why should I care?' "	Und wen Sie sich nicht darum kümmern, warum sollte ich? "
Madison Reed, which now does monthly employee surveys, has been able to take action the same day a problem is reported on Glint, according to Errett.	Madison Reed, der jetzt monatliche Mitarbeiter-Umfragen durchführt, war in der Lage, Maßnahmen am gleichen Tag einzuleiten, wenn ein Problem über Glint berichtet wird, so Errett.
And, after gathering feedback from employees frustrated by the speed of decision-making and the quality of communication, she was able to reorganize several teams within the company and add communication training to address the issues.	Und nach dem Sammeln von Feedback von frustrierten Mitarbeitern war sie durch die Schnelligkeit der Entscheidungsfindung und die Qualität der Kommunikation, imstande, mehrere Teams innerhalb des Unternehmens neu zu organisieren und eine Kommunikations-Schulung hinzuzufügen, um die Probleme anzugehen.
Over at Ruby Tuesday, the company is getting new insight on its employees, and it's hoping that in the long run, this will convert to better retention of workers in an industry known for high turnover.	Bei Ruby Tuesday erhält das Unternehmen immer neue Einblicke über die Mitarbeiter, und es hofft, dass auf lange Sicht, dies zu einer besseren Bindung von Arbeitnehmern in einer Branche führt, die bekannt ist für hohe Umsätze.
"If you're not committed to creating a culture of transparency, you're going to lose people," Vitrano said.	"Wenn Sie nicht verpflichtet sind, eine Kultur der Transparenz zu schaffen, werden Sie die Menschen verlieren", sagte Vitrano.
"And if you lose people, you're going to lose customers.	"Und wenn Sie Menschen verlieren, verlieren Sie auch Kunden.
And when you lose customers, you're going to lose companies."	Und wenn Sie Kunden verlieren, dann werden Sie Unternehmen verlieren.
The NCAA's elimination of two-a-day practices makes for a long day for the Bruins	Die NCAA beseitigt die zwei-Tage-Praktiken und macht einen langen Tag für die Bruins
It's pushing 11 p.m. as a throng of UCLA football players linger to chat on one side of the team's new on-campus practice fields.	Es geht auf 23 Uhr zu, als sich eine Menge UCLA-Footballspieler auf einer Seite der neuen Übungsfelder des Teams auf dem Campus unterhalten.
Some have peeled off their jersey tops, revealing backs slick with sweat from the toil of the first day of training camp.	Einige haben ihre Trikotoberteile ausgezogen und zeigen den Rücken voller Schweiß vom ersten Tag des Trainingslagers.
For a good chunk of the team, these idle minutes constitute a midday break.	Für einen guten Teil des Teams stellen diese untätigen Minuten eine Mittagspause dar.
Players enrolled in summer classes will head back to their dorms after the three-hour practice to study for final exams before returning to the Wasserman Football Center for meetings at 6:30 the following morning.	Spieler, die sich zu den Sommerkursen eingeschrieben sind, werden nach der dreistündigen Übung zu ihren Abschlussprüfungen zurückkehren, bevor sie am nächsten Morgen um 6:30 Uhr zum Wasserman Football Center zurückkehren.
"This is a grind for these guys the next three days," Bruins coach Jim Mora said not long before Monday turned into Tuesday.	"Das ist für die Jungs die nächsten drei Tage eine echte Tretmühle", sagte Bruins-Trainer Jim Mora kurz bevor der Montag zum Dienstag wurde.
The NCAA's elimination of two-a-day practices, designed to lighten the load on players, has actually lengthened their days - at least until finals end Friday.	Die NCAA eliminiert zwei-Tage-Übungen, um die Last der Spieler zu erleichtern, und sie hat ihre Tage tatsächlich verlängert - zumindest bis zum Finale am Freitag.
That's why UCLA's first three practices were scheduled to begin at 7:15 p.m. to accommodate players' already crammed schedules.	Deshalb sollten die ersten drei Trainings der UCLA um 19:15 Uhr beginnen, um den bereits vollgepackten Zeitplänen der Spieler gerecht zu werden.
The trade-off from no two-a-days is more one-a-days, the Bruins pushing up the start of camp nearly a week from last season and holding practices during summer school for the first time during Mora's six seasons in Westwood.	Der Kompromiss weg von den zwei Tagen ist mehr als ein Tag, an dem die Bruins den Beginn des Camps fast eine Woche nach der letzten Saison verschoben und während der Sommerschule zum ersten Mal während Moras sechs Spielzeiten in Westwood praktische Übungen durchführten.
They are scheduled to hold 18 practices through Aug. 20 before beginning formal game preparations for their opener against Texas A&M on Sept.	Sie sollen im Laufe des August 18 Übungen abhalten. 20 vor Beginn der formellen Spielvorbereitungen für ihren Auftakt gegen Texas A & M im September.
Mora said he supported the NCAA's rule change even if it did add another item to players' busy itineraries.	Mora sagte, dass er die Regeländerung der NCAA unterstütze, selbst wenn sie den vielbeschäftigten Routen der Spieler einen weiteren Punkt hinzufüge.
"We're putting this enormous load on them for three or four days and it's very challenging," Mora said.	"Wir legen diese enorme Belastung drei oder vier Tage auf sie, und es ist sehr herausfordernd", sagte Mora.
"And they've just pushed through it; they grind, they're great kids.	"Und sie haben es einfach durchgedrückt, sie placken sich weiter, sie sind tolle Leute.
I think once we get to Saturday and we'll have more time, it will really be great."	Ich denke, sobald wir bis zum Samstag kommen und wir mehr Zeit haben, wird es wirklich großartig."
UCLA will close its practices once camp is finished, no easy task given the clear sight lines of its fields from an adjacent parking lot and the adjoining Luskin Center, an upscale hotel that has already been pelted with footballs that cleared a protective net behind a goalpost.	Die UCLA wird ihre Praktiken beenden, sobald das Camp beendet ist, was angesichts der klaren Sichtlinien seiner Felder von einem angrenzenden Parkplatz und dem angrenzenden Luskin Center, einem Hotel der gehobenen Klasse, das bereits mit Fußbällen beworfen wurde, die ein Schutznetz hinter einem Torpfosten räumten, keine leichte Aufgabe sein wird.
Bruins players are scheduled to occupy the hotel beginning this weekend, but Mora acknowledged that there could be an issue once those rooms are vacant during the season.	Bruins-Spieler sollen das Hotel ab diesem Wochenende besetzen, aber Mora räumte ein, dass es ein Problem geben könnte, sobald diese Zimmer während der Saison frei sind.
"We will have security," Mora said.	"Wir werden unsere Sicherheit einsetzen", sagte Mora.
"That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.	"Das ist ein echtes Problem, und es ist nicht weit hergeholt zu denken, dass die Leute sich dort ein Zimmer mieten und sich dann dort darauf einstellen, eine Übung aufzuzeichnen.
If you have videotape of a practice, it's a pretty good deal.	Wenn Sie das Videoband von einer Übung haben, ist es ein ziemlich gutes Geschäft.
But we'll have security there and we'll have security up in Parking Lot 8.	Aber wir haben Sicherheitskräfte dort, und wir haben Sicherheitskräfte auf Parkplatz 8.
We'll do the best we can with what we got.	Wir werden das Beste tun, mit dem, was wir haben.
I'm not going to worry too much about it.	Ich mache mir deswegen nicht allzu große Sorgen.
We have a plan in place."	Wir haben einen Plan."
Facebook to step up fact-checking in fight against fake news	Facebook will Tatsachen-Überprüfung im Kampf gegen gefälschte Nachrichten intensivieren
Facebook is to send more potential hoax articles to third-party fact checkers and show their findings below the original post, the world's largest online social network said on Thursday as it tries to fight so-called fake news.	Facebook will mehr potenzielle Artikel mit Falschmeldungen an Faktenüberprüfer von Dritten schicken und deren Ergebnisse unter dem Originalbeitrag dann anzeigen, sagte das weltweit größte Online-Social-Network am Donnerstag. Es ist eine seiner Bemühungen, so genannte Fake-News zu bekämpfen.
The company said in a statement on its website it will start using updated machine learning to detect possible hoaxes and send them to fact checkers, potentially showing fact-checking results under the original article.	Das Unternehmen sagte in einer Stellungnahme auf seiner Website, dass es mit dem Einsatz von aktualisierten maschinellen Lernmethoden beginnen wird, um mögliche Falschmeldungen zu erkennen und sie an Faktenüberprüfer zu senden, die möglicherweise Ergebnisse der Faktenprüfung aus dem Original-Artikel anzeigen werden.
Facebook has been criticized as being one of the main distribution points for so-called fake news, which many think influenced the 2016 U.S. presidential election.	Facebook wurde als einer der Hauptverteilungspunkte für so genannte Fake-News kritisiert, von denen viele glauben, dass sie auch die US-Präsidentschaftswahlen 2016 beeinflusst haben.
The issue has also become a big political topic in Europe, with French voters deluged with false stories ahead of the presidential election in May and Germany backing a plan to fine social media networks if they fail to remove hateful postings promptly, ahead of elections there in September.	Das Problem ist auch in Europa zu einem großen politischen Thema geworden, wobei die französischen Wähler im Vorfeld der Präsidentschaftswahlen im Mai mit falschen Geschichten überflutet wurden, und Deutschland unterstützt einen Plan, nach dem soziale Medien-Netzwerke bestraft werden sollen, wenn es ihnen nicht gelingt, hasserfüllte Postings wie vor den Wahlen dort im September schnell zu beseitigen.
On Thursday Facebook said in a separate statement in German that a test of the new fact-checking feature was being launched in the United States, France, the Netherlands and Germany.	Am Donnerstag sagte Facebook in einer separaten Erklärung auf Deutsch, dass in den USA, Frankreich, den Niederlanden und Deutschland ein Test der neuen Fakten-Überprüfung gestartet werde.
"In addition to seeing which stories are disputed by third-party fact checkers, people want more context to make informed decisions about what they read and share," said Sara Su, Facebook news feed product manager, in a blog.	"Neben der Erkenntnis, welche Geschichten von Faktenüberprüfern dritter Parteien angefochten werden, wollen die Menschen mehr Kontext, um fundierte Entscheidungen darüber zu treffen, was sie lesen und teilen", sagte Sara Su, Produktmanagerin für Facebook-Nachrichten in einem Blog.
She added that Facebook would keep testing its "related article" feature and work on other changes to its news feed to cut down on false news.	Sie fügte hinzu, dass Facebook weiterhin sein Feature zu dem "in Verbindung stehenden Artikel" testen werde und an anderen Änderungen an seinem Nachrichten-Feed arbeitet, um falsche Nachrichten zu verringern.
Building a graphic novel: A Castle in England's story	Erstellen eines Comic-Romans: Ein Schloss in der Geschichte von England
In its recent past, the diminutive Scotney Castle has featured in a Squeeze music video and been a bolthole for Margaret Thatcher during the 1970s and 1980s.	In seiner jüngeren Vergangenheit war das kleine Scotney Castle in einem Squeeze-Musikvideo zu sehen und war für Margaret Thatcher in den 1970-er und 1980-er Jahren ein Schlupfloch.
But Scotney has witnessed 700 years of tumultuous history from its cosy seat in Bewl River valley in Kent, now inspiration for a graphic novel written by Jamie Rhodes, a mop-haired Yorkshireman with a penchant for historical documents.	Aber Scotney hat 700 Jahre turbulenter Geschichte von seinem gemütlichen Sitz im Bewl River Tal in Kent erlebt und ist jetzt zur Inspiration für einen grafischen Roman von Jamie Rhodes, einem mophaarigen Yorkshireman mit einer Vorliebe für historische Dokumente, geworden.
"I find it so beautiful to look at the handwriting of someone who has been dead for 300 years," he says wistfully.	"Ich finde es so schön, auf die Handschrift von jemandem zu schauen, der seit 300 Jahren tot ist", sagt er wehmütig.
"What a personal connection, to hold that letter in my hand."	"Was für eine persönliche Beziehung, diesen Brief in meiner Hand zu halten."
Spanning the middle ages to the Edwardian era, A Castle in England documents the families that lived in Scotney, with each story illustrated by a different, upcoming UK artist - Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer and Isabel Greenberg.	'A Castle in England' umspannt die Zeit vom Mittelalter bis zum Zeitalter von Edward und dokumentiert die Familien, die in Scotney lebten. Jede Geschichte wurde von einem anderen, aufkommenden britischen Künstler illustriert - Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer und Isabel Greenberg.
It is not Rhodes's first book based on an archive: he also wrote 2014's Dead Men's Teeth and Other Stories, a collection inspired by documents in the British Library - a project he found unexpectedly emotional.	Es ist nicht das erste Buch von Rhodes, das auf einem Archiv basiert: Er schrieb 2014 'Dead Men's Teeth and Other Stories', eine Sammlung, die von Dokumenten in der British Library inspiriert wurde - ein Projekt, das er unerwartet emotional fand.
"I welled up at just the thumbprint on the side of a letter, written by a double agent in the 1700s who was working for the Jacobites," he says.	"Ich habe nur auf den Daumenabdruck auf der Seite eines Briefes so reagiert, der von einem Doppelagenten in den 1700-er Jahren geschrieben wurde, der für die Jakobiner arbeitete", sagt er.
"That's his thumbprint!	"Das ist sein Daumenabdruck!
And letters always smell like smoke because, back then, you lit a fire for light.	Und Briefe riechen immer nach Rauch, denn damals zündete man ein Feuer wegen des Lichtes an.
To someone 300 years in the future, the smell makes it feel like they're there, too.	Für jemanden, der 300 Jahre später lebt, hat der Geruch eine Wirkung, als wäre er selbst auch dabei.
Ah, I love archives!"	Ach, ich liebe Archive!"
For someone so smitten with old papers, getting support from the National Trust and Arts Council England and living in a castle for almost four months ("I overstayed my welcome a little bit, to be honest") seems too good to be true.	Für jemanden, der so mit alten Papieren geschlagen ist, dass er vom National Trust und dem Arts Council England unterstützt wird und fast vier Monate in einem Schloss lebte ("Um ehrlich zu sein: Ich habe meinen Willkommensgruß ein wenig überbewertet") scheint dies alles zu schön, um wahr zu sein.
Rhodes spent his days exploring the Victorian "new" castle, going through the archives and studying the manor's many treasures and curios, such as the mounted hyena heads on the walls and bottles that had spent centuries in the moat.	Rhodos verbrachte seine Tage damit, das viktorianische "neue" Schloss zu erkunden, die Archive durchzusehen und die vielen Schätze und Kuriositäten des Schlosses zu studieren, wie etwa die montierten Hyänenköpfe an den Wänden und die Flaschen, die Jahrhunderte im Graben verbracht hatten.
He wandered the grounds and the ruins of the old castle, talking to rangers, gardeners and sometimes the artists at work on his book's illustrations.	Er wanderte durch das Gelände und die Ruinen der alten Burg und sprach mit Landschaftspflegern, Gärtnern und manchmal auch mit den Künstlern, die an den Illustrationen seines Buches arbeiteten.
Then at night, he'd "drink whiskey and get writing."	Dann, nachts trank er "Whiskey und fing an zu schreiben".
The intimate history of Scotney is relatively unknown, as the National Trust had only gained full access in 2006 when the final heir, Elizabeth Hussey, died.	Die intime Geschichte von Scotney ist relativ unbekannt, da der National Trust erst 2006 den vollen Zugang erhielt, als die letzte Erbin, Elizabeth Hussey, starb.
When Rhodes arrived a decade later, staff were only starting to tackle the archive, which he describes as "hundreds of years of aristocrats going: 'Oh, stick it in the loft'."	Als Rhodes ein Jahrzehnt später eintraf, begannen die Angestellten gerade erst damit, sich um das Archiv zu kümmern, das er als "Hunderte von Jahren, in denen Aristokraten sagten "Oh, wirf es auf den Dachboden" beschrieb.
Diaries, letters from the days of the English empire, maps outlining who owned what: "You'd think land disputes would be boring," says Rhodes, "but there was this one birch tree two families were fighting over.	Tagebücher, Briefe aus der Zeit des Englischen Empires, Karten, die darstellen, wer was besaß: "Man könnte meinen, dass Landkonflikte langweilig sein würden", sagt Rhodes, "aber da war eine Birke, um die zwei Familien gekämpft haben.
Just let it go, guys!"	Jungs, lasst alles seinen Gang gehen!"
Some of the stories in the collection use the castle as a jumping-off point to delve more broadly into English history, including The Labourer, which follows a man who leaves the newly built castle to join the 1381 Peasants' Revolt.	Einige der Geschichten in der Sammlung benutzen die Burg als Ausgangspunkt, um auf breiterer Basis in die englische Geschichte einzutauchen, darunter 'The Labourer', die einem Mann folgt, der die neu erbaute Burg verlässt, um sich dem Bauernaufstand von 1381 anzuschließen.
"There is a record of a riot happening at the castle in 1380, in this book called the Knightly Families of Kent and Sussex," says Rhodes.	"Es gibt eine Aufzeichnung von einem Aufruhr, der 1380 im Schloss auftrat, in diesem Buch mit dem Titel 'Knightly Families of Kent and Sussex' ", sagt Rhodes.
"The Peasants' Revolt started in that area and I thought, a riot is a good place to start.	"Der Bauernaufstand begann in diesem Gebiet und ich dachte, ein Aufstand sei ein guter Anfang.
Maybe the two are connected?"	Vielleicht sind die beiden miteinander verbunden?"
Other stories are rooted firmly in the history of the castle - such as The Priest, which tells the tale of the Jesuit priest whom the Darrell family hid for seven years during the English Reformation.	Andere Geschichten sind fest in der Geschichte des Schlosses verwurzelt - wie 'The Priest', die die Geschichte des Jesuitenpaters erzählt, den die Familie Darrell sieben Jahre lang während der englischen Reformation versteckte.
Or The Smuggler, which features 18th-century contrabander Arthur Darrell, who is thought to have staged his own funeral by filling a coffin with rocks (a discovery made years later when his coffin was unearthed).	Oder 'The Smuggler', in dem der Schmuggler Arthur Darrell aus dem 18. Jahrhundert dargestellt wird, der seine eigene Beerdigung inszenierte, indem er einen Sarg mit Steinen füllte (eine Entdeckung, die erst Jahre später gemacht wurde, als sein Sarg ausgegraben wurde).
The Darrells are Rhodes's favourite Scotney family: "The gentlemen seemed to be quite roguish, always getting into debt and spending money on things they couldn't afford.	Die Darrells sind Rhodes'Lieblingsfamilie von Scotney: "Die Herren schienen ziemliche Gauner zu sein, immer wieder Schulden machen und Geld für Dinge ausgeben, die sie sich nicht leisten konnten.
Different generations of Darrell men solved their debt crises by marrying rich old women - I imagine them as a bunch of handsome guys, with a knack for wooing heiresses."	Andere Generationen von Darrell-Männern lösten ihre Schuldenkrisen, indem sie reiche alte Frauen heirateten - ich stelle sie mir als einen Haufen gut aussehender Jungs vor, mit einem Talent, um Erbinnen zu werben."
With his assignment in the castle over, Rhodes is on the hunt for other singular writing experiences.	Nach dem Ende seines Einsatzes im Schloss ist Rhodes auf der Suche nach anderen einzigartigen Schreib-Erfahrungen
He has completed a two-week stint in the Finnish wilderness for a graphic novel about Elämänmäki, the site of an early 20th-century sanatorium that has since been reclaimed by nature.	Er hat einen zweiwöchigen Aufenthalt in der finnischen Wildnis für einen Comic-Roman über Elämänmäki hinter sich gebracht, das Gelände eines Sanatoriums aus dem frühen 20. Jahrhundert, das seither von der Natur wieder zurückgefordert wurde.
But Scotney holds a special place for him.	Aber Scotney hat für ihn einen besonderen Platz.
"I was sad to leave," he says.	"Ich war traurig, wieder zu gehen," sagt er.
"It was like: 'Ah, I've got to go deal with fucking real life now.'"	Es war wie: "Ach, jetzt muss ich wieder mit dem verdammten Leben fertig werden."
Campaign launched: over 300-year-old Lady Chapel in Rhöndorf encased	Kampagne gestartet: Über 300 Jahre alte Marienkapelle in Rhöndorf verhüllt
By encasing the 301-year-old Lady Chapel in Rhöndorf, the town of Bad Honnef launched their campaign to introduce a new umbrella brand (Thursday's Rundschau).	Mit der Verhüllung der 301 Jahre alten Marienkapelle in Rhöndorf hat die Stadt Bad Honnef am Freitag ihre Kampagne zur Einführung einer neuen Dachmarke (Rundschau von Donnerstag) gestartet.
Mayor Otto Neuhoff and his marketing team, led by Nelson Artz, want to keep the logo and slogan a secret still, until Thursday.	Noch bis Donnerstag wollen Bürgermeister Otto Neuhoff und sein Marketingteam um Nelson Artz das Logo und den Slogan geheim halten.
At the end of August, as the climax of the campaign, there is to be a festival on the island of Grafenwerth.	Ende August soll es als Höhepunkt der Kampagne ein Fest auf der Insel Grafenwerth geben.
"Too beautiful for us,	"Zu schön für uns.
are you?" The campaign authors have been asking this, on posters on the Rhöndorf chapel, since yesterday.	Oder?", fragen die Macher der Aktion seit gestern auf den Plakaten an der Rhöndorfer Kapelle.
"We don't really think that (of course!)," they write on their website, activated yesterday.	"Wir denken das (natürlich!) nicht wirklich", schreiben sie auf ihrer gestern freigeschalteten Webseite.
"But we are using this initiative to get your attention.	"Aber wir nutzen diese Maßnahme, um Ihre Aufmerksamkeit zu gewinnen.
And to bring home that some things are better than they seem.	Und um deutlich zu machen, dass manches besser ist, als es scheint.
In actual fact, we are firmly convinced that we, as residents of Bad Honnef, are well aware of the beauty and attractiveness of our town."	Im Grunde sind wir der festen Überzeugung, dass wir als Bad Honnefer Bürger um die Schönheit und Attraktivität unserer Stadt sehr wohl wissen."
The initiative is about more than "just" a logo and a slogan, it continues.	Bei der Aktion gehe es um mehr als "nur" ein Logo und einen Slogan, heißt es weiter.
"A stand-alone pledge has to be formulated, one that lends the town an unmistakable unique selling point."	"Es gilt, ein alleinstehendes Versprechen zu formulieren, eines, das der Stadt ein unverwechselbares Alleinstellungsmerkmal gibt".
Ultimately, it is in competition with other municipalities.	Schließlich stehe sie im Wettbewerb mit anderen Kommunen.
The town of Bad Honnef has given itself a moderate five-figure amount for the costs of its new umbrella brand and the campaign.	Einen mittleren fünfstelligen Betrag lässt sich die Stadt Bad Honnef ihre neue Dachmarke und die Kampagne kosten.
Military reform in Turkey – Erdogan's fear of the army	Militärreformen in der Türkei - Erdogans Angst vor der Armee
Every year in Ankara at the beginning of August, the highest military council (YAS) advises on retirements and promotions in the officer corps.	Jedes Jahr Anfang August berät in Ankara der Oberste Militärrat (YAS) über Pensionierungen und Beförderungen im Offizierskorps.
So too this week.	So auch diese Woche.
At first glance, a normal procedure.	Auf den ersten Blick ein normaler Vorgang.
But nothing is routine in the Turkish armed forces one year after the coup attempt.	Aber nichts ist Routine bei den türkischen Streitkräften ein Jahr nach dem Putschversuch.
The meeting was no longer held in the general staff building as previously, but rather in the Prime Minister's official residence.	Die Sitzung fand nicht mehr im Gebäude des Generalstabs statt, wie früher, sondern im Amtssitz des Ministerpräsidenten.
Taking part in the discussions chaired by the head of government were now also the five vice premiers, as well as the ministers for defence, the interior, justice, and foreign affairs.	An den Beratungen nahmen unter dem Vorsitz des Regierungschefs jetzt auch die fünf Vizepremiers sowie die Minister für Verteidigung, Inneres, Justiz und Auswärtiges teil.
The civilians were thus in the majority in the YAS.	Damit waren die Zivilisten im YAS in der Überzahl.
The government is tightening the reins on the military.	Die Regierung zieht im Militär die Zügel an.
Chief of Staff Hulusi Akar remains in office, but the commanders of the army, the air force and the marines were removed.	Generalstabschef Hulusi Akar bleibt zwar im Amt, aber die Kommandeure des Heeres, der Luftstreitkräfte und der Marine wurden abgesetzt.
Since the failed coup, head of state Erdogan has fired 169 of the 326 generals and admirals.	Seit dem gescheiterten Coup hat Staatschef Erdogan 169 der 326 Generäle und Admiräle gefeuert.
Over 10,000 soldiers were removed from the ranks of the army – mostly due to alleged connections to the movement of exiled preacher Fethullah Gülen, whom Erdogan sees as the mastermind behind the coup attempt.	Über 10.000 Soldaten wurden aus den Reihen der Armee entfernt - meist wegen angeblicher Verbindungen zur Bewegung des Exil-Predigers Fethullah Gülen, den Erdogan als Drahtzieher des Putschversuchs sieht.
As of this week in Ankara, trials are being held against 486 people who are said to have been directly involved in the coup attempt.	Gegen 486 Personen, die unmittelbar an dem Putschversuch beteiligt gewesen sein sollen, wird in seit dieser Woche in Ankara verhandelt.
Already on the day after the coup, Erdogan described the attempt at overthrow as a "gift from God", since it gives him the opportunity to "completely cleanse" the armed forces.	Schon am Tag nach dem Putsch hatte Erdogan den Umsturzversuch als "Gottesgeschenk" bezeichnet, da er ihm die Gelegenheit gebe, die Streitkräfte "vollständig zu reinigen".
But does Erdogan really have control over the army?	Aber hat Erdogan die Armee wirklich im Griff?
At the end of February, the newspaper "Hürriyet" published an article with the headline "Unease in the military headquarters".	Ende Februar veröffentlichte die Zeitung "Hürriyet" einen Artikel mit der Überschrift "Unbehagen im Militär-Hauptquartier".
There are concerns among the general staff of an increasing "Islamisation" of the army, which manifests itself, among other ways, in the lifting of the headscarf ban for female soldiers, wrote the paper.	Im Generalstab gebe es Besorgnisse wegen einer zunehmenden "Islamisierung" der Armee, die sich unter anderem in der Aufhebung des Kopftuchverbots für Soldatinnen manifestiere, schrieb die Zeitung.
The big clean-up of the army and the security forces is continuing anyway.	Das Großreinemachen bei der Armee und den Sicherheitskräften geht jedenfalls weiter.
In the middle of July, Erdogan fired, by decree, an additional 7395 public servants, among whom were 2303 policeman and 546 soldiers.	Mitte Juli ließ Erdogan per Dekret weitere 7395 Staatsdiener feuern, darunter 2303 Polizisten und 546 Soldaten.
In doing so, it seems as if Erdogan has tamed the military.	Dabei schien es, als habe Erdogan das Militär gezähmt.
Previously, the generals were deemed the true authorities in the country.	Die Generäle galten früher als die eigentlichen Herren des Landes.
Three times they staged a coup, invoking their role as guardians of the secular state order.	Dreimal putschten sie unter Berufung auf ihre Rolle als Wächter der weltlichen Staatsordnung.
After an election victory in 2002, Erdogan has been pushing back the strength of the military bit by bit, not least by invoking the reform guidelines of the European Union.	Nach seinem Wahlsieg 2002 drängte Erdogan die Macht der Militärs Schritt für Schritt zurück, nicht zuletzt unter Berufung auf die Reformvorgaben der Europäischen Union.
Former officers say that Erdogan is purposefully promoting Islamisation of the armed forces.	Ehemalige Offiziere sagen, Erdogan treibe gezielt eine Islamisierung der Streitkräfte voran.
In the magazine "Vocal Europe", an unnamed officer, who sought asylum abroad after the attempted coup out of fear of persecution, warned that the Turkish army would be "full of extremists and Salafists" in a few years.	Im Magazin "Vocal Europe" warnte ein namentlich nicht genannter Offizier, der nach dem Putschversuch aus Angst vor Verfolgung im Ausland Asyl suchte, die türkische Armee werde in wenigen Jahren "voller Extremisten und Salafisten" sein.
If that is true, Nato would not be able to be indifferent to such a development.	Trifft das zu, könnte eine solche Entwicklung die Nato nicht kalt lassen.
In any case, after the purges, there is doubt in the alliance concerning the Turkish army's readiness for action.	Ohnehin gibt es in der Allianz nach den Säuberungen Zweifel an der Einsatzbereitschaft der türkischen Armee.
The governance structures and operational capabilities are "weakened", say Nato diplomats.	Die Führungsstrukturen und operationellen Fähigkeiten seien "geschwächt", sagen Nato-Diplomaten.
Washington Changes the Green Card Rules	Washington ändert die Regeln für die Green Card
There is going to be new US immigration plan to modify Green Card rules, President Donald Trump said, quoted by the media.	Es wird einen neuen US-Einwanderungs-Plan geben, um die Regeln der Green Card zu ändern, sagte Präsident Donald Trump, zitiert von den Medien.
It envisages reducing legal immigrants to 50,000 per year, stricter rules for obtaining temporary work visas and restrictions on family-oriented visas.	Er sieht vor, die legalen Einwanderer auf 50.000 pro Jahr zu senken, strengere Vorschriften für die Erlangung von Visa für eine befristete Arbeitserlaubnis und Beschränkungen für Familien-orientierte Visa.
The new rules are proposed by the Republicans and are supported by the president.	Die neuen Regeln werden von den Republikaner vorgeschlagen und vom Präsidenten unterstützt.
The draft law is due to be discussed in the two chambers of Congress.	Der Gesetzentwurf soll in den beiden Kammern des Kongresses diskutiert werden.
"This law will reduce poverty, raise wages and save billions of dollars for taxpayers, and will do this by changing the way the US issues Green Cards to citizens from other countries.	"Dieses Gesetz wird die Armut verringern, die Löhne erhöhen und Milliarden Dollar für die Steuerzahler sparen und wird dies tun, indem die USA die Art und Weise ändern werden, wie den Bürgern aus anderen Ländern Green Cards ausgegeben werden."
The law will reduce chain migration and replace the current scheme.	Das Gesetz wird die Ketten-Migration verhindern und das derzeitige System ersetzen.
This new application process will benefit candidates who speak English, have financial resources to support themselves and show skills that will benefit our economy," said Trump, quoted by the American media.	Diese neue Bewerbungs-Prozedur wird den Kandidaten zugute kommen, die Englisch sprechen, die die finanziellen Mittel haben, um sich selbst zu unterstützen und Kenntnisse zeigen, die unserer Wirtschaft zugute kommen werden", sagte Trump, zitiert von den amerikanischen Medien.
Minister wants line renovated for Rennsteig shuttle	Ministerium will Strecke für Rennsteigshuttle sanieren
In recent months, there have been constant arguments about the future of the Rennsteig shuttle – now it is said to be moving very quickly.	Immer wieder war in den vergangenen Monaten über die Zukunft des Rennsteigshuttles gestritten worden - nun soll es ganz schnell gehen.
There are plans to build on the dilapidated stretch of track, on which the tourist trains travel, before the end of the year still.	Noch vor Ende des Jahres soll an der maroden Strecke, auf der die Touristenbahn fährt, gebaut werden.
In order to ensure the long-term future of the Rennsteig shuttle, construction works should begin on the line this year already, according to reports from the Ministry of Transport.	Um die Zukunft des Rennsteigshuttles langfristig zu sichern, sollen nach Angaben des Verkehrsministeriums noch in diesem Jahr Bauarbeiten an der Strecke beginnen.
