Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Gezaubert hatten die Jugendlichen des HoT das Buffet mit Köstlichkeiten aus verschiedenen Ländern in der neuen Küche.	Youth from the HoT had conjured up the buffet with delicacies from different countries in the new kitchen.
Finanziert wurde die Einrichtung durch Spenden aus der Gemeinde, wofür sich die Jugendlichen mit dem Essen bedanken wollten.	The facility was financed by donations from the community, for which the youth wanted to express their thanks with the meal.
Dabei war der Start mit der neuen Einrichtung nicht gerade einfach, wie sich Henriette Westbuer, die Leiterin des HoT, erinnert.	The start was not easy, as Henriette Westbuer, head of the HoT, remembers.
Wir hatten unsere Kühlschränke schon vor der Sommerpause prall mit Speisen und Zutaten gefüllt und waren auf den großen Tag bestens vorbereitet.	We had already filled our refrigerators with food and ingredients before the summer break, and we were well prepared for the big day.
Doch dann kam am ersten Tag nach der Sommerpause die böse Überraschung: Ein Stromausfall hatte den riesigen, zweiteiligen Kühlschrank außer Betrieb gesetzt, das Essen war verdorben und musste entsorgt werden.	But then the bad surprise came on the first day after the summer break: A power outage had cut the power to the huge two-part refrigerator, the food was spoiled and had to be thrown out.
"Nun mussten wir wieder von vorne anfangen: Wir haben zwar sehr viel Unterstützung von Freunden und Nachbarn bekommen, aber die Kinder und Jugendlichen wollten es allein schaffen", so Westbuer.	Now we had to start from the beginning again: We got a lot of support from friends and neighbors, but the children and youth wanted to do it alone, says Westbuer.
Und so packten alle mit an.	And so everyone helped.
Das Resultat konnte sich sehen lassen, die Gäste waren begeistert.	The result was impressive and the guests were excited.
"Besser können es Köche auch nicht", lobte eine Besucherin beeindruckt, während Hokkaido-Kürbissuppe serviert wurde oder sich die Gäste an Quiche, Leberkäse oder Kuchen bedienen durften.	Professional chefs could not do any better either, an impressed visitor said, while Hokkaido pumpkin soup was served and the guests enjoyed quiche, meatloaf or cake.
"Es ist wirklich toll, was die Kinder und Jugendlichen auf die Beine gestellt haben", betonte Pfarrer Frank Beckmann, während Zauberer Stephan Lammen mit Kartentricks und anderen Kunststücken für Erstaunen sorgte.	It is really great what the children and young people have put together, said pastor Frank Beckmann, while magician Stephan Lammen amazed the guests with card tricks and other performances.
Jürgen Sator verlässt den Landesvorstand NRW der Tafel	Jürgen Sator leaves the NRW executive board of the Tafel
Aus Frust über Kritik aus den eigenen Reihen hat der Chef der Essener Tafel, Jörg Sartor, seinen Posten im Landesverband abgegeben.	Out of frustration over criticism from their own ranks, the head of the Essen Tafel, Jörg Sartor, has given up his position.
Sartor war bundesweit bekannt geworden, weil die Essener Tafel einen Aufnahmestopp für Ausländer eingeführt hatte.	Sartor had become known nationwide because the Essen Tafel had introduced a limit for foreigners.
Er sei bereits im Juli als Vizechef der NRW-Tafeln zurückgetreten, sagte Sartor der "Welt am Sonntag".	He had resigned in July as vice-chairman of the NRW Tafel, said Sartor to the "Welt am Sonntag".
Mir sind da zu viele in den Rücken gefallen.	Too many had stabbed me in the back.
Der Chef des Tafeln-Landesverbandes NRW, Wolfgang Weilerswist, äußerte gegenüber der dpa Verständnis für die Entscheidung seines langjährigen Stellvertreters.	The head of the NRW association of the Tafel, Wolfgang Weilerswist, expressed understanding for the decision of his longtime deputy to dpa.
Die scharfe Kritik habe Sartor mitgenommen.	Sartor took the sharp criticism to heart.
"Ich kann seinen Schritt nachvollziehen - da haben sich Leute geäußert, die gar nicht genau wussten, warum die Essener Tafel das macht".	I can understand his step - many people spoke up who did not even know exactly why the Essen Tafel does that.
Sartor sei aber immer noch aktiv für die Essener Tafel - "sechs Tage die Woche, da ändert sich nichts dran", so Weilerswist.	But Sartor is still working for the Essener Tafel - “six days a week, nothing has changed about it,” says Weilerswist.
Sartor kritisierte in der "Welt am Sonntag" wiederum Kritik an Kollegen von anderen Tafeln.	Sartor criticized colleagues from other Tafel associations in "Welt am Sonntag.".
Man dürfe nicht den Ansatz verfolgen, "ohne uns verhungern die Menschen in der Stadt".	One should not think, "that without us, people in the city would be starving."
Es sei Aufgabe des Staates dafür zu sorgen, dass Menschen nicht verhungerten.	It would be the government’s obligation to ensure that people did not starve to death.
An einem Kongress der Tafeln am Freitag in Berlin nahm der Essener nicht teil.	The man from Essen did not participate at a congress of the Tafel in Berlin on Friday.
"Da wird mir zu viel süßer Schmus erzählt", sagte er.	They’re oversimplifying it all, he said.
Da sind diese ganzen Sozialfuzzis, die mich damals auch so kritisiert haben.	There are all those do-gooders who criticized me so much back then.
SF Lorch verspielen 2:0-Führung - Gmünder Tagespost	SF Lorch play a 2:0 lead - Gmünder Tagespost
Fußball, Bezirksliga Lorch verliert gegen Neuler 2:3 - TV Heuchlingen siegt in Kirchheim nach Rückstand - Bettringen schlägt Lauchheim klar.	Football, district league Lorch loses against Neuler 2:3 - TV Heuchlingen wins in Kirchheim after falling behind - Bettringen convincingly defeats Lauchheim.
Mit 2:0 lag Lorch im Heimspiel gegen den TV Neuler bereits in Führung - am Ende stand's 2:3 und die Enttäuschung bei den Sportfreunden war groß.	Loch had already been 2:0 up in their home match against TV Neuler - the final score was 2:3 and the disappointment among Loch’s players and supporters was great.
Ganz anders der TV Heuchlingen: In Kirchheim geriet der TVH schnell mit 0:1 ins Hintertreffen, siegte nach 90 Minuten jedoch mit 2:1. An der Tabellenspitze konnte die SGB derweil mit einem 3:0	It was a very different story for TV Heuchlingen: In Kirchheim, TVH quickly fell behind with 0:1, but victory was theirs after 90 minutes at 2:1. Meanwhile a 3:0 for SGB at the top of the table allowed them to
Gladbach verspielt zweimalige Führung - Schalke ohne Embolo mit erstem Sieg	Gladbach forfeits double lead - Schalke without Embolo receives first victory
Borussia Mönchengladbach muss weiter auf einen Auswärtssieg in Wolfsburg warten.	Borussia Mönchengladbach must wait for an away win in Wolfsburg.
Beim 2:2 verspielen die Fohlen zweimal eine Führung.	At 2: 2 "die Fohlen" twice forfeited the lead.
Schalke kommt gegen Mainz zum ersten Saisonsieg (1:0).	Schalke gains its first win of the season with a score of 1:0 over Mainz.
(sda) Viermal hat sich Schalke in den ersten fünf Ligaspielen mit frühen Gegentoren ins Abseits manövriert.	(sda) Four times Schalke maneuvered themselves offside with early goals in the first five league games.
Nun legte das Team von Domenico Tedesco wieder jene Stärke an den Tag, mit der es in der letzten Saison den ersten Platz hinter den Bayern belegt hatte.	Now, the team of Domenico Tedesco again showed the same strength, which allowed it to take the first place behind Bayern last season.
Alessandro Schöpf brachte die Heimequipe in der elften Minute nach starker Vorarbeit von Jewgeni Konopljanka per Kopf in Führung, in der Folge konservierten die Gastgeber das Minipolster mit einer kompakten Defensivleistung.	Alessandro Schöpf secured the lead of the home team in the eleventh minute after heavy preparatory head work by Yevgeny Konoplyanka, as a result of which the home team preserved the mini buffer with a solid defensive performance.
Dank einem aussergewöhnlichen Comeback grüsst Borussia Dortmund neu von der Spitze der Bundesliga.	Thanks to an extraordinary comeback Borussia Dortmund are moving back up the national league again.
Das Team von Lucien Favre hatte sich gegen Bayer Leverkusen bis zur Pause einen 0:2-Rückstand eingehandelt, kam allerdings in der 2. Halbzeit noch zum 4:2-Sieg.	The team of Lucien Favre playing against Bayer Leverkusen by half-time had brought itself to a 0:2 loss, but in the second half came to a 4:2 win.
Jacob-Bruun Larsen (65.) und Marco Reus (69.) glichen mit einer Doublette innert vier Minuten aus, Paco Alcacer, der von Favre in der 63. Minute eingewechselt wurde, sorgte mit einer weiteren Doublette in der Schlussphase (86./94.) für den krönenden Abschluss der Leistungssteigerung nach der Pause.	Jacob-Bruun Larsen (65.) and Marco Reus (69.) with a doublet within four minutes brought the game to a tie. Paco Alcacer, who was sent to the field by Favre in the 63rd minute as a substitute, provided another doublet in the closing stages of the came (86./94.) as the crowning conclusion of the performance increase after the break.
Zum ersten Sieg kam auch der VfB Stuttgart.	The VfB Stuttgart also received its first victory.
Gegen das wegen einer Gelb-roten Karte gegen Milos Veljkovic schon vor der Pause dezimierte Werder Bremen mussten die Stuttgarter zwischenzeitlich bangen.	The Stuttgarters had to take fear of the Werder Bremen, which already before the end of the first half-time had been reduced to a team of ten because of a yellow-red card against Milos Veljkovic.
Borna Sosa und der unaufmerksame Goalie Ron-Robert Zieler fabrizierten ein kurioses Einwurf-Eigentor, das den Gästen in der 68. Minute zum Ausgleich verhalf.	Borna Sosa and the inattentive goalie Ron-Robert Zieler fabricated a strange throw-in own goal, which helpd the guests tie the game in the 68th minute.
Sieben Minuten später führte Gonzalo Castro den VfB doch noch zum ersten Sieg.	Seven minutes later Gonzalo Castro led the VfB to its first win.
In Wolfsburg erlebte Michael Lang kein vollends geglücktes, aber auch kein misslungenes Debüt für Borussia Mönchengladbach.	Michael Lang playing in Wolfsburg, did not experience a completely successful, but neither a failed debut for Borussia Mönchengladbach.
Die mit dem Schweizer Quartett Yann Sommer, Nico Elvedi, Denis Zakaria und Lang angetretenen Gladbacher gaben zweimal eine Führung aus der Hand, spielten letztlich 2:2 und warten nach wie vor seit 2003 auf einen Auswärtssieg in der VW-Stadt.	The Gladbachers, using the Swiss quartett line-up of Yann Sommer, Nico Elvedi, Denis Zakaria and Lang gave away the lead twice, but ultimately achieved a 2:2 score, which means that since the year 2003 they still await an away win in the VW city.
Für Wolfsburgs Ausgleich zum 1:1 war Renato Steffen mit seinem zweiten Bundesligator zuständig.	Renato Steffen was responsible for the 1:1 tie goal for Wolfsburg, which was his second goal in the Bundesliga.
Beim Flachschuss aus 20 Metern des Aargauers war Yann Sommer machtlos, ebenso wie beim zweiten Gegentreffer nach einer Stunde.	The Aargauer Yann Sommer was powerless against the low shot from 20 metres, as well as against the second goal against an hour later.
Dennoch sind die Tendenzen bei Gladbach durchaus verheissungsvoll.	The trends at Gladbach are very promising though.
Alassane Pléa erweist sich im Sturm der Fohlen zusehends als Goalgetter.	Alassane Pléa proves to be a goalgetter in the ofensive of "die Fohlen".
Gegen Wolfsburg traf der vom OGC Nice gekommene französische Rekordeinkauf zum dritten Mal in Folge und zum siebenten Mal im siebten Pflichtspiel.	Against Wolfsburg hit The French record purchase from the OGC Nice scored against Wolfsburg for the third time in a row and for the seventh time in seven competitive matches.
Nach sieben Runden belegt Gladbach den 4. Platz.	After seven rounds Gladbach holds 4th place.
Innerhalb von 40 Minuten manövrierte sich das zuvor ungeschlagene Werder Bremen gegen den VfB Stuttgart in eine ungemütliche Lage.	Within 40 minutes the previously undefeated Werder Bremen put VfB Stuttgart in an uncomfortable position.
Nach 19 Minuten liess sich das Team von Florian Kohlfeldt von einem Stuttgarter Konter überraschen, den der Ex-Luganesi Anastasios Donis mit seinem ersten Saisontreffer abschloss, nach 36 Minuten setzte Milos Veljkovic seinem Team weiter zu: Der 23-jährige Serbe kassierte nach einem Trikotzupfer gegen Daniel Didavi Gelb-Rot.	After 19 minutes, Florian Kohlfeldt’s team were surprised by Stuttgart’s counter-attack, when the ex-Lugano Anastasios Donis scored his first goal of the season, after 36 minutes Milos Veljkovic was added to the team: The 23-year-old Serbian got a yellow/red after a shirt-pull against Daniel Didavi.
Zwar brachten Stuttgarts Verteidiger Borna Sosa und Goalie Ron-Robert Zieler die Bremer durch ein kurioses Einwurf-Eigentor (68.) zurück ins Spiel, eine Viertelstunde vor Schluss schoss Gonzalo Castro die in Überzahl agierenden Stuttgarter zurück auf die Siegesstrasse.	Although Stuttgart’s defender Borna Sosa and goalie Ron-Robert Zieler Bremer, through a strange throw-in own goal (68) brought Bremen back into the game, a quarter of an hour before closing a shot by Gonzalo Castro led the majority owning Stuttgart team back to the road to victory.
Nürnberg entschied das Duell gegen Düsseldorf 3:0 souverän für sich.	Nuremberg won the battle against Düsseldorf 3:0, effortlessly.
Nach einer halben Stunde brachte Hanno Behrens das Heimteam mittels Foulpenalty bereits auf Kurs.	After half an hour, Hanno Behrens brought the home team on track with a foul penalty.
Mazedonier stimmen über neuen Staatsnamen ab	Macedonians are to agree on a new state name
In Mazedonien stimmen heute rund 1,8 Millionen Bürger darüber ab, ob der Name ihres Landes in Nord-Mazedonien geändert werden soll.	In Macedonia around 1.8 million citizens will today agree whether the name of their country in North Macedonia should be changed.
Bei einem Ja könnte der fast drei Jahrzehnte schwelende Konflikt mit dem Nachbarn Griechenland gelöst werden.	A yes could help settle the dispute with neighboring Greece that has been simmering for nearly three decades.
Athen hatte wegen seiner gleichnamigen nördlichen Provinz auf einer Namensänderung bestanden und jede Annäherung Mazedoniens an den Westen blockiert.	Athens had insisted on a name change because of its eponymous northern province and sought to block any Macedonian advances to the West.
Die Wähler entscheiden daher auch über die zukünftige Westintegration.	Voters are therefore also deciding on the country’s future integration into the West.
Die USA hatten angekündigt, das Land könne bei einem positiven Ausgang des Referendums zügig Nato-Mitglied werden.	The USA have announced that the country could quickly become a Nato member if there is a positive outcome from the referendum.
Syrer in U-Haft.	Syrian detained awaiting trial.
Flüchtling attackierte drei Frauen.	Refugee attacked three women.
Ein Syrer verprügelte drei Pensionistinnen brutal und verletzte sie dadurch teils schwer.	A Syrian brutally beat three senior citizens partially causing severe injuries.
Der 41-jährige Asylwerber hatte am Freitag gegen 22 Uhr in der Fluchtgasse in Alsergrund randaliert.	On Friday at about 22.00 the 41-year-old asylum seeker had rioted in the Fluchtgasse in Alsergrund.
Als die Polizisten eintrafen, sprachen sie den Beschuldigten, der mit geballten Fäusten auf Passanten losging und diese zu attackierten versuchte, auf sein Verhalten an.	When the policemen arrived, they questioned the accused about his behavior, who with clenched fists attempted to attack passers-by.
Daraufhin versuchte der Syrer, die Beamten zu schlagen und zu treten.	The Syrian thereafter tried to beat and kick the officials.
Wenig später stellte sich heraus, dass der Verdächtige kurz zuvor in der Währinger Straße bei einer Straßenbahnhaltestelle drei ältere Damen (65, 67, 75) mit seinen Fäusten zu Boden geschlagen hatte.	A short time later it turned out that the suspect had recently beaten three older ladies (aged 65, 67, 75) in the Währinger street, at a tram stop with his fists bringing them to the ground.
Zudem hatte er das Trio mit seinen Füßen getreten.	Additionally he stomped on the trio with his feet.
Die Pensionistinnen wurden zum Teil schwer verletzt.	The senior citizens were partially seriously injured.
Sie erlitten Hämatome, Prellungen und Gehirnerschütterungen.	They suffered hematoma, bruising and concussion.
Der Asylwerber wurde "aus noch unbekannter Ursache", wie es seitens der Polizei hieß, ebenfalls schwer verletzt.	The police stated, the asylum seeker was also seriously injured, "through causes still requiring identification."
Er wurde ins Spital gebracht und während der Behandlung durchgehend überwacht.	He was taken to hospital and monitored throughout his treatment.
SPD-Politiker: Johannes Kahrs heiratet seinen Freund	SPD Politician: Johannes Kahrs marries his boyfriend
Fast genau ein Jahr nach Inkrafttreten der Ehe für alle hat der SPD-Politiker Johannes Kahrs seinen langjährigen Freund Christoph Rohde geheiratet.	Almost a year after marriage came into force for everyone, the SPD politician Johannes Kahrs married his long-term boyfriend Christoph Rohde.
Die beiden gaben sich am Samstag in Hamburg das Jawort.	The two exchanged vows on Saturday in Hamburg.
Eine eingetragene Lebenspartnerschaft sei für sie nicht infrage gekommen, hatte Kahrs zuvor der "Bild"-Zeitung gesagt.	Kahrs previously told the ‘Bild’ newspaper that a registered civil partnership was not for them.
"Wenn wir heiraten, dann richtig". Er sei seit 25 Jahren mit seinem Partner zusammen.	If we get married, we want to do it properly. He has been with his partner for 25 years.
Der 55-jährige Kahrs ist haushaltspolitischer Sprecher der SPD-Bundestagsfraktion und einer der Sprecher des Seeheimer Kreises, des konservativen SPD-Flügels.	The 55-year-old Kahrs speaks on budgetary policy for the SPD parliamentary group in the German Bundestag and is one of the Seeheim region speakers of the conservative SPD wing.
In der Bundestagsdebatte über die Öffnung der Ehe für Homosexuelle hatte Kahrs am 30. Juni 2017 mit einer Wutrede Aufsehen erregt.	Kahrs had caused quite a stir with an angry speech on June 30, 2017 during a parliamentary debate over allowing homosexuals to get married.
So hatte er Bundeskanzlerin Angela Merkel (CDU) vorgeworfen, sich bei dem Thema "verstolpert" zu haben.	For example, he accused Chancellor Angela Merkel (CDU) of having "stumbled" on the subject.
"Das war Ihr Schabowski-Moment", meinte er in Anspielung auf die versehentliche Verkündung der DDR-Grenzöffnung durch Günter Schabowski.	He felt this was its Schabowski moment, alluding to the inadvertent announcement of the East German border opening by Günter Schabowski.
Seit dem 1. Oktober 2017 können gleichgeschlechtliche Paare genau wie Heterosexuelle heiraten.	Since October 1, 2017 same-sex couples have been able to marry just like heterosexuals.
Zuvor hatten sie ihre Lebenspartnerschaft seit 2001 eintragen lassen können, es gab aber keine Gleichstellung mit der Ehe, etwa beim Adoptionsrecht.	Previously, they had been able to register their civil partnership since 2001, but there was no equality of status with marriage, for example concerning adoption laws.
Gartentag: 400 Meter Hecke geschnitten	Garden day: 400 meters of hedge trimmed
Es lag eine ganze Menge Arbeit vor den Mitgliedern der Bürgervereinigung Kinderhaus und der Gesellschaft für Leprakunde.	The members of the citizens’ association Kinderhaus and the Gesellschaft für Leprakunde were faced with a lot of work.
Denn rund 400 Meter Hecke rund um die Gärten der Bewohner des Pfründnerhauses sollten geschnitten werden.	Because around 400 meters of hedge around the gardens of the residents of the Pfründnerhause had to be trimmed.
Unterstützt von den Bewohnern, ging es für rund zwölf Unterstützer ans Werk.	Supported by the residents, about twelve helpers went to work.
"Wir machen das, um die Kosten zu senken", erklärte der Vorsitzende der Bürgervereinigung Walter Schröer.	We are doing this to reduce costs, explained the chairman of the citizens’ association Walter Schröer.
Und es habe sich auch so einiges angesammelt.	And a lot of costs have accumulated.
Aufgrund des heißen Sommers sind wir dieses Mal spät dran, aber zum Glück ist es nun nur ein Formschnitt.	Because of the hot summer, we're late getting started, but fortunately it’s just some profile trimming.
Denn bereits im Frühjahr habe man die Hecke schon einmal geschoren.	Because they had already cut the hedge in the spring.
Das auf die Arbeit stets folgende Frühstück hat ebenfalls schon eine lange Tradition.	The breakfast that always follows the work also has a long tradition.
"Es sollen ja auch alle bei Kräften bleiben", sagte Walter Schröer.	Everyone should eat to have enough energy, said Walter Schröer.
Weltmeisterschaft in Rio: Hannes Aigner holt Gold bei der Kanuslalom-WM	World championships in Rio: Hannes Aigner receives gold at the canoe slalom world championships
Der Augsburger Hannes Aigner hat zum Abschluss der Kanuslalom-Weltmeisterschaft in Rio de Janeiro die Goldmedaille gewonnen.	The Augsburg Hannes Aigner won the gold medal at the end of the canoe slalom world championships in Rio de Janeiro.
Der 29-Jährige legte am Sonntag auf der Olympia-Strecke einen perfekten Lauf hin.	The 29-year-old completed a perfect run on the Olympic stretch.
Vor zwei Jahren hatte er Olympia-Bronze noch um drei Hundertstelsekunden verpasst.	Two years ago, he missed the Olympic bronze by three hundredths of a second.
Ich war gut vorbereitet, hatte hier auf der Anlage ja schon genug Fahrten und es hat heute alles gepasst", sagte der Olympia-Dritte von London 2012.	I was well prepared, having done plenty of runs on this setup, and today everything went perfectly’, said the Olympic bronze medalist from London 2012.
Im Ziel warf er sein Paddel vor Freude weg und reckte beide Arme siegessicher in die Höhe - wohlwissend, dass es mindestens für eine Medaille reichen würde.	At the finish line, he threw away his paddle for joy and victoriously stretched both arms into the air - knowing that it would at least be enough for a medal.
Immerhin hatte er Startnummer vier.	After all, he started at number four.
Doch die sechs noch verbleibenden Starter konnten seine Fabelzeit von 89,69 Sekunden nicht toppen.	Yet the six remaining starters could not top his best time of 89.69 seconds.
Zweiter wurde der Tscheche Jiri Prskavec vor dem Russen Pawel Eigel.	The Czech, Jiri Prskavec came second in front of the Russian, Pawel Eigel.
Die Polizeiinspektion Gauting vermeldet den ersten Einbruchsversuch dieses Herbstes in ein Einfamilienhaus.	The Gauting police inspection announces the first attempted break-in this autumn in a single-family house.
Zum Glück scheiterten die Täter.	Fortunately, the culprits failed.
Die Tage werden kürzer - das wollen sich Einbrecher wieder zunutze machen.	The days are getting shorter - burglars are taking advantage of this.
So vermeldete die Polizeiinspektion Gauting gestern den ersten Einbruchsversuch dieses Herbstes.	Yesterday the police station Gauting reported the first break-in attempt of this autumn.
Dass es beim Versuch an dem Einfamilienhaus an der Königswieser Straße geblieben ist, ist der Alarmanlage zu verdanken.	It is thanks to the alarm system that the attempt in the Königswieser Straße at the single family home remained as such.
Die ging nämlich los, als die Täter am Freitag kurz vor 20 Uhr Hand anlegten.	On Friday just before 20.00 the alarm rang when the offenders took action.
Die Einbrecher ahnten zwar, dass die Bewohner nicht zu Hause waren.	The burglars assumed the inhabitants were not at home.
Die Alarmanlage überraschte sie aber offenbar dermaßen, dass sie ohne Beute die Flucht ergriffen.	Yet apparently the alarm surprised them so much that they fled without loot.
Hinweise an die PI Gauting, Telefon (089) 8 93 13 30.	Useful info to the PD Gauting, phone (089) 8 93 13 30.
Pleite bei Hertha: Von der Realität eingeholt: Bayern gegen Ajax gefordert	The fall of Hertha: Overtaken by reality: Bayern calls for Ajax
Das Prädikat unschlagbar ist dahin: Die Niederlage in Berlin will sich der FC Bayern "nicht gefallen lassen".	The title of unbeatable is gone: The defeat in Berlin will not allow the FC Bayern to give up.
Die nächsten beiden Klassiker gegen Ajax und Gladbach bestimmen nun das erste Zwischenfazit für die Amtszeit von Niko Kovac.	The next two classics against Ajax and Gladbach will now determine the interim conclusion for Niko Kovac’s tenure.
Die erste kleine Leistungsdelle unter dem neuen Coach Niko Kovac soll sich für die Münchner keinesfalls zum größeren herbstlichen Tief steigern.	Under no circumstances should the first small drop in power with the new coach Niko Kovaca should increase for Munich to the autumn minimum.
"Vor einer Woche hatte man noch den Eindruck, wir sind unbesiegbar.	A week ago, everyone still thought we were unbeatable.
Jetzt hat uns ein bisschen die Realität eingeholt", konstatierte Thomas Müller nach der verdienten 0:2-Niederlage bei Hertha BSC und forderte eine Reaktion für das Champions-League-Duell mit Ajax Amsterdam.	Now we are overtaken by reality, said Thomas Müller after the 0-2 defeat of Hertha BSC and asks for a return leg in the Champions League duel with Ajax Amsterdam.
Wer uns kennt, der weiß, dass uns das richtig ärgert und wir deswegen Richtung Dienstag Gas geben.	Anyone who knows us, is aware that we are really angry and that is why we will crank up on Tuesday.
Erstmals seit mehr als einem Jahr auswärts kein eigenes Tor geschossen, wie zur gleichen Zeit der Vorsaison zwei Pflichtspiele in Serie ohne Sieg, die Tabellenführung in der Fußball-Bundesliga vorerst an Borussia Dortmund verloren.	For the first time within more than a year of playing away there were scored no goals, as at the same time two mandatory preseason games in series without a victory, the league leaders in the Bundesliga lost to Borussia Dortmund.
Die Gesamtsituation stellt sich zwar längst nicht so dramatisch wie zur Endphase des gescheiterten Carlo Ancelotti Ende September 2017 dar, dennoch muss der Rekordmeister gewarnt sein.	The overall situation is not nearly as dramatic as the final phase of the failed Carlo Ancelotti at the end of September 2017, but the champions shall be aware.
Der FC Augsburg beim 1:1 mit seiner laufintensiven Mann-gegen-Mann-Taktik und die Berliner durch ihre spielerischen Nadelstiche über die Außen haben binnen drei Tagen gleich zwei Blaupausen geliefert, wie die zuletzt übermächtig erscheinenden Bayern doch zu knacken sind.	The FC Augsburg with the 1:1 ratio having its long running man-on-man tactics and the Berlin through its playful pinpricks over the outside have delivered within two days two similar blueprints, as the last overpowering appearing of Bayern failed.
"Die, die den FC Bayern kennen, wissen, dass wir uns das nicht gefallen lassen und wir alles tun werden, damit wir wieder erfolgreich sind", betonte Kovac.	Those who know Bayern are aware that we will not put up with that and that we will do everything to become successful again, Kovac said.
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.	Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.
Ein Sieg gegen Amsterdam und gegen Borussia Mönchengladbach am Samstag würde vor der Länderspielpause das erste Zwischenfazit seiner Amtszeit dennoch positiv ausfallen lassen - andernfalls dürfte sich der Ton wohl verschärfen.	A win over Amsterdam and Borussia Monchengladbach on Saturday would make the first preliminary conclusion of his term being positive before the international break - otherwise the tone will probably get worse.
So unternahm Kovac vor dem zweiten Königsklassen-Auftritt dieser Saison nach dem 2:0 bei Benfica Lissabon auch keine außergewöhnlichen Maßnahmen.	So before the second premier class appearance in this season after the 2-0 over Benfica Lisbon, Kovac undertook no extraordinary measures.
Nach dem freien Tag am Sonntag beginnt wie geplant die kurze Vorbereitung auf das zweite Vorrundenspiel gegen Ajax, das zum Auftakt AEK Athen ebenfalls souverän mit 3:0 bezwungen hatte.	As it was planned, after the day off on Sunday started quick preparation for the second preliminary round match against Ajax, who beat AEK Athens confidently 3-0 as well.
"Jetzt hat's uns in zwei Spielen erwischt, wir werden aber auch wieder unsere Tore machen", kündigte Nationalmannschafts-Kapitän Manuel Neuer an.	Now they’ve scored a victory over us in two games, but we will also reach our goals again, announced captain of the national team Manuel Neuer.
Wie schon nach dem verlorenen Pokalfinale gegen Eintracht Frankfurt an gleicher Stelle sprach vor allem Joshua Kimmich Klartext.	Already after the lost cup final against Eintracht Frankfurt, at the same position the most notably in plain text spoke Joshua Kimmich.
Der Rechtsverteidiger trat in der Rolle als Mahner auf.	The right defender take on the role of admonisher.
"Ich glaube nicht, dass das alles Pech ist, wir müssen es uns auch schon wieder erarbeiten, weil wir die Vielzahl an Chancen nicht machen und hinten die Fehler machen", betonte der 23-Jährige kurz vor der Abfahrt aus dem Olympiastadion.	I do not believe that this is all bad luck, we need to work it out again, because we do not go for most of the opportunities and make mistakes, said the 23-year-old shortly before leaving the Olympic stadium.
Am siebten Spieltag der vorigen Spielzeit lagen die Bayern sogar schon mit fünf Zählern hinter Dortmund, das nun mit einem Punkt Vorsprung wieder die Spitze übernommen hat.	On the seventh match day of the previous season Bayern was even five points behind Dortmund, which has now taken over with one point ahead.
Und so wertete Kimmich mit einem Augenzwinkern zumindest positiv, dass nun die öffentliche Debatte um die vermeintlich unschlagbaren Bayern ein Ende gefunden hat.	And so Kimmich appreciated only with a shrug of its shoulders at least positively, that now the public debate about supposedly invincible Bavaria has ended.
"Ja, das ist doch schon mal gut", sagte der Nationalspieler.	Yes, that’s good, said the national player.
Für die Liga ist es schon mal gut.	It is a good thing for the league.
DFB-Boss in Schusslinie: Özil-Causa: Scharfe Attacke von Erdogan an Grindel	DFB boss comes under fire: Özil-Causa: Sharp attack of Erdogan on Grindel
Mit schweren Vorwürfen prangert der türkische Staatspräsident Erdogan eine Ausgrenzung von Mesut Özil und Ilkay Gündogan in Deutschland an.	The Turkish president Erdogan condemns the exclusion of Mesut Özil and Ilkay Gündogan in Germany amidst serious accusations.
DFB-Präsident Grindel sieht zwar Fehler, verteidigt aber die Verbandslinie.	The DFB president Grindel admits mistakes but upholds the association’s line.
Nun soll ein neuer Posten geschaffen werden.	Now will be created a new post.
Berlin - Auf unterschiedlichen Bühnen kämpften Recep Tayyip Erdogan und Reinhard Grindel um die Deutungshoheit im Dauer-Streitthema Mesut Özil.	Berlin - Recep Tayyip Erdogan and Reinhard Grindel fought on different stages for interpretation in the lengthy Mesut Özil dispute.
Nachdem der türkische Staatspräsident zur Eröffnung der großen Ditib-Moschee in Köln den Umgang mit dem Ex-Weltmeister in Deutschland heftig kritisierte, verteidigte der DFB-Chef die Verbandslinie.	After the Turkish President criticized the speech of the former world champion in Germany at the opening of large Ditib Mosque in Cologne, the head of DFB upheld the association’s line.
Am frühen Sonntagmorgen kündigte der von Özil persönlich scharf attackierte Grindel im Mainzer ZDF-"Sportstudio" Konsequenzen aus der Causa an.	Early on Sunday morning, Grindl, who had been personally attacked by Özil, reported on the consequences of the issue on the Mainz ZDF “Sport studio”.
"Da müssen wir in Zukunft - weil wir auch viele Spieler mit Migrationshintergrund in den U-Mannschaften haben - sehr genau Schlussfolgerungen ziehen, dass sich so etwas nicht wiederholt", sagte der 57-Jährige und will einen Nationalspieler ohne Migrationshintergrund als weiteren Integrationsbeauftragten gewinnen.	As we have a lot of players with a migration background in the U teams, in future we must draw very specific conclusions, so something like this this does not happen again, said the 57-year-old and plans to get a national player without a migration background as an additional integration official.
