Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
WeChat has changed the way of people's communication. Video calls and voice calls reduced the number of telephone calls for everyone. “Talk about it in detail on WeChat” seems have become a daily language.	微信改变了人们的沟通方式，视频通话、语音通话使大家打电话的次数变少，“详细情况微信上再聊”似乎成了日常用语。
On the 11th, Foreign Ministry Spokesperson Lu Kang said that the House of Representatives of the United States Congress has recently passed a relevant Taiwan-related motion, which has seriously violated the one-China policy and the principles of the three Sino-U.S. joint communiques, and interfered in China’s internal affairs. China is firmly opposed to it.	外交部发言人陆慷11日说，美国国会众议院近日通过有关涉台议案严重违反一个中国政策和中美三个联合公报原则，干涉中国内政，中方对此表示坚决反对。
Macedonia declared independence in 1991 and joined the United Nations in 1993 in the name of "The former Yugoslav Republic of Macedonia".	马其顿1991年宣布独立，并于1993年以“前南斯拉夫马其顿共和国”名义加入联合国。
This achievement represents that Micius has the ability to realize intercontinental quantum secure communication.	该成果标志着“墨子号”已具备实现洲际量子保密通信的能力。
In response to climate change, no country can stay out of the question.	应对气候变化，没有一个国家可以置身事外。
In August 2017, retail giant Wal-Mart and internet giant Google announced that they would cooperate to launch voice shopping services and jointly fight against the common enemy Amazon.	２０１７年８月，零售巨头沃尔玛与互联网巨头谷歌宣布，将合作推出语音购物服务，联手对抗双方共同的敌人亚马逊。
The data shows that the average global surface temperature in 2017 was about 1.1℃ higher than the pre-industrial age.	数据显示，2017年全球平均地表温度比工业化前时代高出了约1.1摄氏度。
According to Fan Yanhui, in the medium and short term, the Renminbi is not likely to rise or fall too much, and is more likely to remain stable at the current level.	在范言慧看来，中期和短期内，人民币不太有大涨大跌的可能性，更可能在现有水平下保持稳定态势。
In answer to the question about Taiwan’s recently released defense-related reports, An Fengshan made the above response.	在回答有关台湾方面日前发布防务相关报告的问题时，安峰山作了上述回应。
Many people have noticed that since the beginning of this century, the birth rate of South Korea has been below 1.5% and the problem of aging has become increasingly severe.	不少人注意到，本世纪初至今，韩国人口出生率一直低于1.5%，老龄化问题日益严峻。
On the 20th, Chinese Foreign Ministry Spokesperson Lu Kang also stressed that the behavior of the US warships have damaged China’s sovereignty and security interests, posed a serious threat to the safety of Chinese vessels and personnel carrying out normal official activities in the relevant sea areas, and violated the basic norms of international relations. And he expressed that China was strongly dissatisfied with this and would take necessary measures to firmly safeguard China's sovereignty.	中国外交部发言人陆慷也在20日强调，美方军舰有关行为损害中国的主权和安全利益，对中方在有关海域开展正常公务活动的船只和人员安全造成严重威胁，违背国际关系基本准则，并表示中方对此表示强烈不满，将采取必要措施，坚定维护中国主权。
Last year, Amir Khan's movie Dangal become a black horse in China’s film market, and finally won 1.29 billion yuan at the box office.	去年，阿米尔·汗主演的电影《摔跤吧！爸爸》在中国成为影市黑马，最终收获12.9亿元票房。
On the whole, the average trust of the American people on various institutions fell sharply by 37%, while the average trust of the Chinese people on various institutions rose by 27%. Both ranges were the highest among the 28 countries surveyed (regions).	整体而言，美国民众对各机构的平均信任度大幅下滑37个百分点，中国民众对各机构的平均信任度上升27个百分点，上升和下降幅度都是28个受调查国家(地区)中最高的。
Wang Fengyuan spoke at the launch of his new book, saying that before coming to the United States, he wanted to find a book to get to know the experience of others, but he searched all over Xinhua Bookstore and did not find a book about studying in American middle school.	王丰源在首发式发言中说，来美国前想找本书看看别人的经验，但他翻遍新华书店没找到关于留学美国中学的书。
It is understood that in all electronic licenses, the most critical and crucial is the electronic ID card.	据了解，在所有的电子证照中，最核心、最关键的是电子身份证。
In the end, the painting was sold for US$450.3 million, which was equivalent to approximately RMB2.986 billion, setting a record for the "most expensive" auction for art.	最终，这幅画以4.503亿美元的价格成交，约合29.86亿元人民币，创下艺术品拍卖的“最昂贵”纪录。
According to the Beijing News, data released on January 18 by the National Bureau of Statistics showed that the number of births in the country was 17.23 million in 2017, a decrease of 630,000 over the previous year.	据新京报报道，1月18日，国家统计局公布的数据显示，2017年全国出生人口为1723万人，比上年减少63万人。
A few months later, the Indian government purchased eight P-8I maritime patrol aircraft for the first time and deployed them over the Indian Ocean in 2013. In 2016, India purchased four P-8Is at the original price once again.	几个月后，印度政府首次购买了8架P-8I海上巡逻机，于2013年部署在印度洋海域，2016年，印度再次以当初的价格购买了4架P-8I。
Yuan Chengye has long been engaged in extractant chemistry and organophosphorus chemistry research, who is one of the founders of Chinese extractant chemistry research.	袁承业长期从事萃取剂化学和有机磷化学研究，是中国萃取剂化学研究的奠基人之一。
Tomas Berdych is currently ranked 19th in the world. He is preparing for the Qatar Open, the first event of the new season. He also aims at the Grand Slam championship in the new season.	伯蒂奇现世界排名第19，他正在备战新赛季的首项赛事——卡塔尔公开赛，新赛季他也将目光瞄准了大满贯冠军。
Earlier that day, the UK team defeated the South African team with a slight margin of 7 to 5. This may affect their status in the finals.	当天早些时候，英国队以7比5险胜南非队，这可能影响了他们在决赛中状态。
At the invitation of the contest's sponsors, Yang Shilin became the torchbearer of the Pingchang Winter Olympics.	应当时的大赛赞助商邀请，杨仕林成为平昌冬奥会的火炬手。
However, in the middle of 2016, Forbes magazine changed her net worth from $4.5 billion to 0.	然而2016年年中，《福布斯》杂志将她的身家从 45 亿美元修改为 0。
After the July 7th Incident in 1937, Japan launched a full-scale war of aggression against China.	1937年七七事变后，日本发动全面侵华战争。
China has always fully and strictly implemented the UN Security Council resolutions and will never allow Chinese citizens and businesses to engage in activities that violate the resolutions of the UN Security Council.	中方始终全面、严格执行联合国安理会决议，绝不允许中国公民和企业从事违反安理会决议的活动。
On the 16th, UN Secretary-General António Guterres highly praised China for playing a crucial role in the global response to climate change and encouraged China to continue to play an important role in the future.	联合国秘书长古特雷斯１６日高度赞扬中国在全球应对气候变化行动中发挥的至关重要的作用，并鼓励中国在今后继续扮演重要角色。
Since May 2017 alone, there have been more than 160 incidents of armed conflict, terrorist attacks, demonstrations and other types of emergencies in Mali.	仅2017年5月份以来，马里境内累计发生武装冲突、恐怖袭击、游行示威等各类突发事件160余起。
The rise of science and technology in China will have a positive impact on global technological innovation. The EU should further strengthen cooperation with China in the field of science and technology.	中国的科学技术崛起将给全球科技创新带来积极影响，欧盟应该进一步加强与中国在科学技术领域的合作
She said that China has always fully and strictly enforced Security Council resolutions, fulfilled its own international obligations, and never allowed Chinese citizens and businesses to engage in activities that violated the UN Security Council resolutions.	她表示，中方始终全面、严格执行安理会决议，履行自身承担的国际义务，绝不允许中国公民和企业从事违反安理会决议的活动。
Not long ago, the National Energy Administration of China announced that by 2020, it will invest 2.5 trillion yuan in the field of alternative energy.	不久前，中国国家能源局宣布，2020年前，将向可替代能源领域投资2.5万亿元人民币。
In order to evade the criticism caused by unconstitutionality, Japan tried to cover up and sophistry to put the attack aircraft carrier under “defensive” weapons.	为了规避因违宪而招致批判，日方极力掩饰和狡辩，把攻击型航母划归“防御型”武器。
On the 27th, Zhejiang Geely Holding Group announced that it has reached an agreement with European fund company Cevian Capital to acquire 82.47 million A shares and 78.77 million B shares of AB Volvo from Cevian Capital.	浙江吉利控股集团27日宣布与欧洲基金公司Cevian Capital达成一致，将收购其持有的沃尔沃集团（AB Volvo）8847万股的A股股票和7877万股的B股股票。
After the transaction is completed, Geely Holding will own 8.2% of the Volvo Group, becoming its largest shareholder and holding 15.6% of the voting rights.	项目交割后，吉利控股将拥有沃尔沃集团8.2%股权，成为其第一大持股股东，并拥有15.6%的投票权。
The head of the Department of Industry Coordination of the National Development and Reform Commission pointed out today that overcapacity in the steel industry was a global issue.	国家发展改革委产业协调司负责人今天在此间指出，钢铁产能过剩是全球性问题。
According to public opinion analysis, after Donald Trump took office at the beginning of last year, the interaction between the leaders of the United Kingdom and the United States lagged far behind the past and the cooperation in major international affairs has decreased. There are more and more disagreements, and the "special relationship" between Britain and the United States is facing a great challenge.	有舆论分析认为，特朗普去年初上任后，英美两国领导人互动远远落后于以往，在国际重大事务中的合作减少，分歧越来越多，英美“特殊关系”正面临巨大考验。
It is still a long-term, complicated and formidable process to fundamentally improve the quality of the atmospheric environment.	大气环境质量要得到根本改善，仍然是一个长期、复杂、艰巨的过程。
On January 4th, 2017, Mobike completed D-round financing amounting to US$200 million. Investors include Tencent, Warburg Pincus, Ctrip, etc.	2017年1月4日，摩拜完成D轮融资，金额达到2亿美元，投资方包括腾讯、华平投资、携程等
On the 21st, Wang Fumei, the older sister of the “ice flower boy” Wang Fuman, told reporters in Beijing that her ideal was to become a doctor in the future because her grandmother was often ill.	21日，“冰花男孩”王福满的姐姐王福美在北京接受记者采访时说，自己未来的理想是想当医生，因为自己的奶奶经常生病。
The year 2018 is the 40th year for China to implement reform and opening up.	2018年是中国实施改革开放的第四十个年头。
The Moroccan Football Association submitted a formal application to FIFA last August to host the 2026 World Cup.	摩洛哥足球协会去年8月向国际足联递交了承办2026年世界杯的正式申请。
Israel has begun to diagnose the real causes of cancer and other diseases in human beings by cracking and analyzing the human genes.	以色列已开始通过破解和分析人类基因，来诊断人类患癌症和其他疾病的真正原因。
According to the Voice of China "CNR News”, a new breakthrough has been achieved in the clinical study of stem cell intervention for premature ovarian failure in China.	据中国之声《央广新闻》报道，我国干细胞干预卵巢早衰临床研究近日获得新突破。
These 2 Chinese books defeated the other 600 ones from 32 countries and successfully entered the list of 14 award-winning books selected in Leipzig, Germany.	中国的这两部作品击败了来自32个国家的600部图书，成功入围了在德国莱比锡评选出的14部获奖图书之列。
This year, China will again launch more than 10 Beidou satellites and establish a basic system consisting of 18 satellites, to provide services for the countries along and around "the Belt and Road”.	今年我国将再次发射十余颗北斗卫星，建立由18颗卫星组成的基本系统，为“一带一路”沿线国家及周边国家提供服务。
In the next step, the team will follow the trend of technological development to research the high-quality depth cameras based on neurochips, apply them to smart cars and pilotless areas, and actively promote the widespread use of neurochips in the “Internet+” related fields.	下一步，团队将紧跟技术发展的潮流研究基于神经芯片的高质量深度相机，使其能应用于智能汽车以及无人驾驶领域，并积极推动神经芯片在“互联网+”相关领域的广泛应用。
Wang confessed that, by chance, he came into contact with marijuana and began to smoke.	王某交代，一次偶然的机会，他接触到了大麻并开始吸食。
Afterwards, the school decided to establish a pagoda-type water tower after extensive consultations with the community's celebrities at that time.	后来校方向当时的社会名流征求意见，得到广泛赞同后决定建立古塔式水塔。
In March 2017, Pu'er coffee, with a brand value of RMB 11.136 billion, entered the top 10 most valuable brands of China's agricultural field.	2017年3月，普洱咖啡以111.36亿元的品牌价值成为中国农业区域品牌价值10强。
He said it could not be determined that there was no risk in such investment, but it was very positive judging from the current response of all parties.	他说，不能说这种投资没有风险，但从目前各方的反应来看，都很积极。
According to Japanese media, the clean-up of the Fukushima Daiichi nuclear power plant is expected to be completed at least until 2051, but it is still uncertain whether it can be realized as scheduled.	据日本媒体报道，福岛第一核电站的清理工作预计至少到２０５１年才能完成，但能否如期实现还是未知数。
She said that President Xi Jinping’s letter in reply to the Chinese students of the Moscow University has expressed his care and hope for the oversea students and the young generation.	她说，习主席给莫斯科大学中国留学生的回信寄托了习主席对广大留学生、对青年一代的关怀和厚望。
It is reported that the IOC did not explain why the remaining 111 Russian athletes were not qualified and did not disclose the names of the athletes on the list. The IOC only stated that they were not the 46 athletes who were deprived of qualification in Sochi Winter Olympics.	报道称，IOC并未解释余下111名俄罗斯运动员为何未获确认资格，也没有公开名单上的运动员名字，仅称他们并非在索契冬奥被褫夺资格的46人。
From January to October in 2017, Sino-British bilateral trade volume amounted to US$ 65.1 billion, of which Britain's export trade to China increased by 11.3% year-on-year. China has continued to be one of the fastest growing export markets for the UK.	2017年1月至10月，中英双边贸易额达651亿美元，英国对华出口同比增长11.3%，中国继续成为英国增长最快的出口市场之一。
The leaders of this revolution are the high tech giant Alibaba group’s Alipay and Tencent’s WeChat payment.	而这项革命的领跑者是高科技巨头阿里巴巴集团的支付宝和腾讯公司的微信支付。
According to experts, from the trends of PMI in manufacturing and non-manufacturing industries, the situation of steady economic growth in China is even more pronounced.	有关专家表示，从制造业和非制造业PMI走势看，当前我国经济稳中向好的发展态势更趋明显。
Both of Wang Xinglian, 73, and Wang Shuyu, 71, are natives of Hutou Village and began practicing medicine in the 1970s.	汪兴莲今年73岁，汪淑玉71岁，都是虎头村本地人，都在上世纪70年代开始行医。
Only when Taiwan abandons the "Taiwan independence" position and the hostile thinking, the peace and stability of the Taiwan Strait can be truly maintained.	台湾方面只有放弃“台独”立场和敌对思维才能真正维护台海和平稳定。
Over the past 10 years, China has become more and more innovative and has demonstrated its determination to protect intellectual property rights.	过去10年来中国变得越来越创新，并表现出保护知识产权的决心。
As developing countries, China and Latin America are at a similar stage of development, face the same development tasks and are each other's development opportunities.	中拉同为发展中国家，处于相近的发展阶段，面临相同的发展任务，互为对方的发展机遇。
“We formally submitted an application to the FDA in 2013 and finally obtained a commercial license, which has gone through five years”, Lin Yongjun said.	“我们2013年向FDA正式提交申请，到最终获得商业化许可，经历了5年的时间。”林拥军说。
A week ago, the first CBA All-Star Game after Yao Ming became chairman of the China Basketball Association ended in Shenzhen.	一周前，姚明出任中国篮协主席后的第一个CBA全明星在深圳落幕。
Under the personal care and vigorous encouragement of President Xi Jinping and President Michelle Bachelet, the comprehensive strategic partnership between the two countries has made considerable progress.	在习近平主席和巴切莱特总统的亲自关心和大力推动下，两国全面战略伙伴关系取得长足发展。
According to the data of the World Federation of Exchanges, the total market value, the secondary market transaction volume, and IPO financing amount of the Shanghai Stock Exchange rank fourth, fifth, and second respectively in the world's exchanges.	据世界交易所联合会的数据，上交所股票总市值、二级市场交易额及IPO融资在全球交易所中排第四位、第五位和第二位。
In May 2016, Huawei accused Samsung of infringement and filed a lawsuit against Samsung in the Northern District Court of California and Shenzhen Intermediate People's Court.	2016年5月，华为指控三星侵权，在加州北区法院和深圳中级人民法院对三星提起诉讼
It is obvious that in the differentiated world, finding common ground is not easy and forming a consensus is more difficult.	显然，在分化的世界中，找到共同点不容易，形成共识更困难。
In the end, Kenya's athlete Kenneth Mungara won the championship of men's group in 2:13:38, and Ethiopian runner Gulume Tollesa won the championship of women's group in 2:29:36.	最终，肯尼亚选手蒙加拉以2小时13分38秒的成绩获得男子组冠军，埃塞俄比亚选手沙拉以2小时29分36秒的成绩获得女子组冠军。
In 2016, 95% of the 731 million Chinese netizens were able to access the Internet via smart phones, more than 470 million of which could pay online through mobile devices.	2016年在7.31亿中国网民当中有95%都能通过智能手机上网，其中超过4.7亿能够通过移动设备在线支付。
The Australian Sailing Championship is currently one of the highest-standard and most influential national sailing events in Australia and is held once a year.	澳大利亚帆船锦标赛是目前澳大利亚规格最高、最具影响力的国家级帆船赛事之一，每年举办一次。
In response to a question at the routine press conference on the 27th, Taiwan Affairs Office spokesperson An Fengshan said that peaceful development in cross-Strait relations is the fundamental guarantee of peace and stability in the Taiwan Strait. Engaging in “Taiwan Independence” activities is the biggest threat to peace and stability in the Taiwan Strait.	国台办发言人安峰山２７日在例行新闻发布会上应询表示，两岸关系和平发展是台海和平稳定的根本保障，搞“台独”分裂对台海和平稳定是最大的威胁。
Currently, Hong Kong is the primary location for Mainland China's outward direct investment. Hong Kong is also Mainland China’s second largest trading partner.	目前，香港是内地对外直接投资的首要地点，香港也是内地第二大贸易伙伴。
On how to prevent graduation anxiety, Shi Yao believed that it was absolutely necessary to prepare a proper job career plan while in university.	针对如何预防毕业焦虑，石瑶认为，大学期间做好职业生涯规划十分必要。
On January 5, the central parity rate of the RMB was 6.4915 to the USD, breaking through the 6.5 threshold again.	1月5日，人民币兑美元中间价报6.4915，再次突破6.5。
Compared to developed countries, most of China’s manufacturing enterprises are still implementing product-led strategies. This not only fail to adequately meet customer demand, it also affects and restricts China’s manufacturing sector from participating in domestic and foreign competition.	与发达国家相比，中国大部分制造业企业仍然在实施以产品为主导的战略，这不仅不能很好地满足客户需求，也影响和制约了中国制造业参与国内外竞争。
I would like to take this opportunity to offer New Year blessings to all citizens of the country, as well as to our fellow country people in the Hong Kong SAR, the Macau SAR and in Taiwan as well as Chinese nationals residing overseas!	在这里，我向全国各族人民，向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞致以新年的祝福！
The Ministry of Education said that 90% of these students study in English language countries, such as the US, UK and Australia; 70% are pursuing at least a bachelor’s degree.	据教育部表示，这些学生90%以上都就读于英语国家，例如美国、英国和澳大利亚等，70%的人至少是在攻读学士学位。
Today, thanks to the the hard work of the government and all sectors of the community, the protection of ancient villages has become a consensus in general.	如今，在政府、社会各界的共同努力下，保护古村基本形成了共识。
There has been further development in the criminal case of Chinese scholar Zhang Yingying who was murdered in the US.	中国学者章莹颖在美遇害案近日有了新的进展。
It is understood that a major highlight of the China-EU Tourism Year is to recommend unknown European tourist attractions to Chinese tourists.	据了解，中欧旅游年的一大重点是向中国游客推介非知名的欧洲旅游景点。
The 19th CPC National Congress pointed out that protecting and improving people’s livelihood must entail grasping the most direct and most practical issues of interests that citizens are most concerned with.	十九大报告指出，保障和改善民生要抓住人民最关心最直接最现实的利益问题。
China has always played an active and positive role in regional cooperation, which is well recognized by regional countries.	中国在地区合作中发挥的作用一贯是积极正面的，受到地区国家高度认可。
According to internationally accepted standards on aging, a country or region where the share of the population aged 60 and above accounts for 10% or those aged 65 and above account for 7%, is an aging society.	按照国际通行的老龄化标准，60岁以上的人口占总人口比例达到10%或65岁以上人口占总人口比例达到7%的国家或地区，即进入老龄化社会。
There are also negatives related to this education method, including placing physically disabled children in a comparatively isolated environment while growing up. This would impair their ability to integrate into society. More importantly, it would affect the formation of a healthy personality for these children.	但这种教育方式也有其弊端，包括把残疾孩子放在相对隔离的环境中成长，不利于他们融入社会，更会影响他们健全人格的形成。
National defense mobilization is an important link in converting and transferring combat potential into combat competence.	国防动员是将战争潜力转化输送为战争实力的重要链条。
Xi Jinping, in a telephone conversation with Trump on the 16th, briefed the latter on his view of the current situation in the Korean peninsular, and pointed out some of the positive changes that have taken place in the peninsular.	习近平16日同特朗普通电话时应询介绍了对当前朝鲜半岛局势的看法，指出朝鲜半岛形势出现一些积极变化。
Potential risk of conflict in cross-Strait relations would significantly affect the confidence of enterprises looking to invest in Taiwan. Inadequate investment would result in weaker economic growth, which would in turn lead to less employment opportunities, low wages and a series of other issues related to people’s livelihood.	两岸关系有冲突的潜在风险，极大地影响企业投资台湾的信心，投资不足就带来经济增长相对乏力，从而造成就业机会少、薪资低等一系列民生问题。
For days, relevant departments in the counties have provided 2.838 million RMB of bursaries for over 690 college students from poor families.	连日来，县有关部门还为690余名贫困大学生落实283.8万元就学资助。
A fishing vessel sank in the waters near Hong Kong on the night of the 20th after colliding with a cargo vessel. After nearly a day of search and rescue, seven crew members are still missing.	一艘渔船20日晚在香港附近海域与一艘货船相撞后沉没，经过近一天搜救，仍有7名船员失踪。
UK Prime Minister Theresa May made a pledge to the public on the 11th that the UK government will implement a 25-year plan, and will eradicate avoidable plastic waste pollution by 2042.	英国首相特雷莎·梅11日向公众承诺，英国政府将实施25年计划，在2042年前消除所有可避免的塑料垃圾污染。
Brazil has now attracted the attention of the international oil industry on the back of rich pre-salt oil deposits.	现如今的巴西，凭借丰富的盐下石油储量引起了国际石油界的关注。
Zhang Xiang, who was born in Mainland China, will soon be appointed President of the University of Hong Kong. News of the appointment drew heated debate as soon as it was released.	出生在内地的张翔即将上任香港大学校长， 任命消息甫一传出，便引起不少热议。
Analysts said that aginst the backdrop of rising anti-globalization and protectionism, constructing a comprehensive and high-quality Asia-Pacific Free Trade Zone will inject new impetus into achieving a unified Asia-Pacific regional economy.	分析人士指出，在逆全球化和贸易保护主义思潮有所抬头的背景下，构建一个全面的、高质量的亚太自贸区将为实现亚太区域经济一体化注入新动力。
Microsoft will convert all Chinese language supported research models into product-oriented core technology, and develop a predictive Swiftkey Chinese smart keyboard.	微软将把各种中文支持研究模型转变为产品化的核心技术，并开发一种意图导向的Ｓｗｉｆｔｋｅｙ中文智能输入。
The western migration of the ancient Yuezhi (or Rouzhi) people to Central Asia is a major event in the history of the Silk Route. For a long time, Chinese and foreign academics have long held various different views about the hometown of the Yuezhi people before the western migration.	古代月氏西迁中亚是丝绸之路历史上的重大事件，长期以来，对于月氏西迁之前的原居地，中外学术界长期存在几种不同观点。
Using CRISPR genome editing technology to treat cancer has been recognized as a revolutionary cancer treatment.	将CRISPR基因编辑技术用于治疗癌症，被认为是一种革命性的癌症疗法。
German researchers, experimenting on mice, have found that the immune system, in addition to playing a defensive role, could also assist in the formation of cancer.	德国研究人员利用小鼠实验发现，免疫系统除可起到防御作用外，还可能助力癌症形成。
The foundation of both Alipay and WeChat Pay is the QR Code. The amount of information these tiny black-and-white squares can store is more than 300 times that of a one-digit code.	支付宝和微信支付的基础都是二维码，这种黑白相间的小方格子能够存储的信息量是一位码的300倍以上。
Avandia, which debuted in 1999, is an “insulin sensitizer”, used for treating Type 2 diabetes.	1999年面世的文迪雅是一种胰岛素增敏剂,适用于治疗Ⅱ型糖尿病。
He revealed that prior to 2017, most students studied unmanned aerial vehicles for employment prospects as well as out of interest.	他透露，2017年以前，大部分学员学习无人机一方面为了就业，一方面为了兴趣。
Computer security experts forecast that more cars will be stolen because the number of online networking vehicles is increasing.	计算机安全专家表示，预计会有更多的车被偷，因为与互联网联网的汽车数目在不断增加。
The technology sector should never forget that it is our humanity and humility that have made technology a possibility in having a positive impact on human life.	科技行业永远不应该忘记：是我们的人性和谦卑让技术对人类生活产生积极影响成为可能。
On January 17, 2017, UK Prime Minister Theresa May, in a speech on “Brexit”, highlighted that while trade between the UK and the EU was important, the UK was also interested in trade relations with other markets that are growing rapidly in the world.	2017年1月17日，英国首相特雷莎·梅就英国“脱欧”问题发表演讲时强调，英国与欧盟之间的贸易固然重要，但是英国也更看重与其他世界上快速增长的市场之间的贸易关系。
Recently, a survey of 2008 people conducted by a media entity revealed that more than half of those surveyed have had the experience of being fooled by false information on health care and well being.	日前，有媒体对2008名受访者进行的一项调查显示，超半数的受访者曾有被医疗养生不实信息忽悠的经历。
The 25th Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting was held in the central Vietnam city of Da Nang from the 10th to 11th. The progress of the Free Trade Area of the Asia-Pacific (FTAAP) will be one of the highlights of this meeting.	亚太经合组织（ＡＰＥＣ）第二十五次领导人非正式会议将于１０日至１１日在越南中部城市岘港举行，亚太自贸区（ＦＴＡＡＰ）进程是此次会议讨论的热点之一。
China carrying out peaceful construction activities and laying out the necessary defense facilities on relevant islands and reefs in the South China Sea are matters within the scope of China’s sovereignty.	中方在有关南海岛礁上开展和平建设活动、部署必要的防卫设施，是中国主权范围内的事。
This project gave all educators a new way of thinking - not to teach, but to create a new learning environment for students to allow them to be prepared for life in the future.	该项目赋予了所有教育者一种新的思维——不是去教授，而是去为学生创造一种新型的学习环境，使得学生为未来生活做好准备。
Qin Gang elaborated on the spirit of the 19th CPC National Congress, and positively appraised the results of China-Brazil relations, which have developed comprehensively and rapidly in recent years. He also said that given the current international situation, the further strengthening of cooperation between China and Brazil, both of which are major developing countries and all-round strategic partners, has great significance.	秦刚向巴方宣介中共十九大精神，积极评价中巴关系近年全面快速发展所取得的成绩，并表示，当前国际形势下，中巴作为发展中大国和全面战略伙伴进一步加强合作具有十分重要的意义。
Tokyo Electric Power Company Holdings, Inc, on the night of the 19th, announced the latest investigation results of Unit Reactor 2 of the Fukushima Daiichi nuclear power station. Nuclear residue from the unit’s reactor after the core melted was found for the first time.	日本东京电力公司１９日晚公布了对福岛第一核电站２号机组内部的最新调查结果，首次发现了该机组反应堆堆芯熔化后的核残渣。
When Associated Press took stock of the 2017 “big winners” in corporate America, Amazon was first on the list.	美联社在盘点美国公司２０１７“大赢家”时，第一个列出的就是亚马逊。
Between the 15th and the 19th, 16 invited think tank delegates from 11 countries including Angola, Kenya and South Africa visited China to observe and study the country.	15日至19日，来自安哥拉、肯尼亚、南非等11个国家的16名智库代表应邀对中国进行考察访问。
As an economic information publisher, Thomson Reuters Foundation siad that China imported 7.3 million tonnes of plastic waste in China, accounting for 56% of the world’s total plastic waste import.	作为经济信息发布机构，汤森路透基金会说，中国2016年进口730万吨废塑料，占当年全世界废塑料进口额的56%。
Wang Zhidong, the lawyer representing the family of Zhang Yingying said that the family expressed relief at the decision made by the Attorney General. They thanked him and the local prosecutor for considering and respecting the wishes of the family, and made decisions that were compatible to the wishes of the family.	章莹颖家人的代理律师王志东表示，家人对司法部长的决定表示欣慰，感谢他和当地检察官考虑并尊重家人的请求，做出了与家人意愿相符的决定。
In 2017, e-commerce giant Amazon.com made frequent moves in the world. It not only successfully launched AI terminals but was also involved in the offline sector, opening a new chapter in new retail.	２０１７年，电商巨头亚马逊公司在全球动作频频，不仅成功推出人工智能终端，还涉足线下，掀开了新型零售的篇章。
Although China is the world’s second largest pharmaceutical market after the US, some of the most effective modern medicines are not listed for sale in the market.	尽管中国是仅次于美国的世界第二大医药市场，但一些最有效的现代药品却没有上市销售。
According to the Forestry Department of Jilin, the 1998 data from a joint monitoring exercise by China, the US and Russia showed that there were only four to six Siberian tigers, and three to five Amur leopards living in the wild in Jilin Province.	据吉林省林业厅介绍，1998年中美俄等国联合监测的数据显示，吉林省仅有野生东北虎4到6只、东北豹3到5只。
Red meat, dairy, and chocolate could help relieve IBD	廋肉、奶制品和巧克力是否有助于缓解炎症性肠病 (IBD) ？
Red meat and chocolate may sound like a nightmare for your digestive system.	廋肉和巧克力可能听起来像是你消化系统的梦魇。
But a new study claims quite the opposite: a diet rich in meat-based protein and dairy treats could help relieve symptoms of sufferers of inflammatory bowel disease.	但是一项新的研究结果显示恰恰相反：富含肉类蛋白和乳制品的饮食可以帮助缓解炎症性肠病患者的相关症状。
The incurable condition, which affects around 1.3 million in the US and 300,000 in the UK, causes stomach cramps and bloating, recurring or bloody diarrhea, weight loss and extreme tiredness.	该种不治之症为约 130 万名美国人和约30万英国人带来生活影响，导致胃痉挛和腹胀、经常性或出血性腹泻、体重减轻和极度疲倦等。
While sufferers are usually advised to dodge meat and dairy to soothe their symptoms, researchers at Washington University found protein's essential amino acid tryptophan helps develop immune cells that foster a tolerant gut.	华盛顿大学的研究人员通常会建议患者避免进食肉类和奶制品以缓解症状，但研究人员发现蛋白质的关键氨基酸-色氨酸有助于促进免疫细胞生长，而这些细胞可增进肠道的耐受力。
Lead investigator Dr Marco Colonna explained immune cells patrol the gut to ensure that harmful microbes hidden in the food don't sneak into the body.	首席研究员马尔科?科隆纳 (Marco Colonna) 博士解释说，免疫细胞会在肠道中进行巡逻，确保隐藏在食物中的有害微生物不会悄悄进入体内。
Cells that are capable of triggering inflammation are balanced by cells that promote tolerance, protecting the body without damaging sensitive tissues.	引发炎症的细胞与增进耐受性的细胞之间保持均衡，保护身体而不损伤各类敏感脆弱的组织。
When the balance tilts too far toward inflammation, inflammatory bowel disease can result.	当均衡状态过于偏向炎症时，就可能会发生炎症性肠病。
In experiments it was found a kind of tolerance-promoting immune cell appears in mice that carry a specific bacterium in their guts.	在实验中发现一种促进免疫力的细胞出现在携带特殊细菌的小白鼠中。
And the bacterium needs tryptophan - one of the building blocks of proteins - to trigger the cells' appearance.	细菌需要色氨酸（蛋白质的构成部分之一）来形成细胞的外观。
Professor Colonna said: 'We established a link between one bacterial species - Lactobacillus reuteri - that is a normal part of the gut microbiome, and the development of a population of cells that promote tolerance.	科隆纳教授说：“我们在一种细菌种群 (罗伊氏乳杆菌，这是肠道微生物群的正常部分) 和可促进耐受力的细胞种群发展之间建立了联系。
The more tryptophan the mice had in their diet, the more of these immune cells they had.'	小白鼠在饮食中摄入的色氨酸越多，它们的免疫细胞就越多。
He suggested if the same works in humans, a combination of L. reuteri and a tryptophan-rich diet may foster a more tolerant, less inflammatory gut environment.	他建议，如果人类使用相同的方法，即路氏乳酸杆菌和富含色氨酸的饮食相结合可能会形成一个更具耐受力，更少发炎性的肠道环境。
