ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
違法マリファナペン型ベイプ販売の疑いで警察が捜索令状を執行した後、午後4時37分に手入れが始まり、テルスター通り9600ブロックにあるオフィスビルでブタンハニーオイル（濃縮大麻オイル）の大型容器が発見された。	The bust happened at about 4:37 p.m. after police conducting a warrant search for suspected illegal marijuana vape pen sales and found large jars of butane honey oil - concentrated cannabis oil - at an office building in the 9600 block of Telstar Avenue.
エルモンテ警察のクリストファー・カノ警部補は、捜査員がベイプカートリッジを詰める機材も発見したと語った。	Lt. Christopher Cano with the El Monte Police said officers also found a machine that was used to load vape cartridges.
「この工程はとても危険である」とカノ警部補は言った。	"The process is very dangerous," Cano said.
カノ警部補は以前麻薬捜査に従事していたことがあり、ベイプ製品に使われるオイルを抽出する過程では引火の可能性があると述べた。	Cano, who used to work narcotics, said the process of distilling the oil for use in vape products is potentially flammable.
「衣服からの静電気だけでも引火する可能性があり、濃縮状態なので火事だけでなく爆発を引き起こす」とカノ警部補。	"Simple static electricity from our clothes can ignite these fumes causing not just a fire, but an explosion because it's under concentration," he said.
さらに、あのような複数の容器などがある場合、次々と爆発を起こし火事だけでなく、ビル全体が吹き飛ばされてしまう可能性もあった。	And if there's multiple jars and things like that, we're going to have one explosion after the next causing not just a fire, but we could possibly have a full complex taken out with the explosion.
危険物処理班が空きオフィスに召集され、違法で危険性のある物質を押収した。	A hazmat team was called to the vacant office to take possession of the illegal and potentially dangerous substance.
押収した物品及び機材の価格はすぐには公表されなかった。	The value of the confiscated products and equipment was not immediately known.
ある匿名情報を受け取り、それが違法活動を発見現場の捜査令状につながった、と捜査員は語った。	Detectives said they received an anonymous tip that led to the search warrant where they discovered the illegal operation.
捜査員は、違法ベイプ活動の黒幕は誰なのか未だに追求中である。	Investigators are still trying to figure out who's behind the illegal vaping operation.
警察は、オフィスは空家だったことから、その張本人がオフィスに店舗を構えたと考えていると述べた。	They said they believe the person responsible set up shop in the office because the space was vacant.
捜査が続行される中、警察は、特にベイピングの危険性に関わる最近のニュースを受け、違法ベイピング製品がちまたに出回らないようにしたいと述べた。	While the investigation continues, officers said they wanted to make sure the illegal vaping products did not make it to the street, especially in the wake of recent headlines involving the dangers of vaping.
カノ警部補は、「本当に本物なのか本人たちも知らずに購入している代物だ」と語った。	"This is just stuff that they don't even know if they're truly getting what they think that they're buying," Cano said.
製品はその他の有害物質と混ぜている可能性もある。	This could be mixed with other harmful chemicals.
それは、私たちのコミュニティや子供たちに多大な害を及ぼすものかもしれない、そのため、警察はこうした活動には近づかないよう、常に人々に警告している。	It could be very harmful to our community, to our children, so we always caution them that they should stay away from these operations.
コンサートの最中に震度６強の大地震が！	Seismic intensity 6 earthquake hits during a concert!
宮崎市のホールで避難訓練（宮崎ニュースUMK ） - Yahoo!ニュース	Earthquake drill conducted at auditorium in Miyazaki city (Miyazaki News UMK) - Yahoo! News
コンサートの最中に地震が発生したことを想定して、宮崎市のホールで、実践型の 避難訓練が行われました。	A practical evacuation drill was conducted at an auditorium simulating an earthquake during a concert.
毎年開催されているこの訓練。	This drill is held annually.
ステージでは実際に宮崎市消防団による演奏が行われ、曲の途中で震度６強の地震が発生するという想定です。	An actual concert was being performed by the Miyazaki fire department on the stage, with the scenario of a seismic intensity 6 earthquake hitting during a piece.
27日の訓練には、幼稚園児や地域住民、ホールのスタッフなど約300人が参加。	300 people participated in the drill held on 27th, including kindergarteners, local residents, and the employees at the auditorium.
園児たちが演奏を楽しんでいると ・ ・ ・	While the kindergarteners are enjoying the concert...
（ホール内放送 ）	(Announcement in the auditorium)
「 地震です、地震です、地震が発生しております。身体を低くしてその場で待機してください」	"Earthquake, earthquake, earthquake in progress, please lower your body and stay still where you are"
このあと、火災も発生したという想定で、参加者はエントランスに避難しました。	Afterward, the participants evacuated to the entrance with the assumption a fire started.
いつどこで発生するか分からない地震。	Earthquake, an uncertain occurrence regardless of time or place.
参加者は、訓練を通して改めて防災意識を高めていました。	The participants reinstated awareness about disaster prevention through this drill.
エリザベス１世の失われたドレス、ハンプトンコート宮殿に展示	Elizabeth I's lost dress to go on display at Hampton Court Palace
それは、最高級のカムレットシルク製で銀箔糸が織り込まれ、植物、獣、蝶の豪華な刺繍がふんだんにほどこされていた。	It was made of the finest chamblet silk, woven with strips of beaten silver, and had been exquisitely embroidered in a rich pattern of plants, beasts and butterflies.
ヒストリック・ロイヤル・パレスのドレスコレクション・キュレーター、エレリ・リンさんは、一点ものだと断定。	To Eleri Lynn, curator of the dress collection at Historic Royal Palaces, that meant only one thing.
リンさんが目にした、片田舎の小さな教会の壁にかけられていたこの褪せた一枚の布は、100年前にそこに配置されたとされ、エリザベス１世の洋服ダンスから紛失した衣服の一部とみられる。	The faded piece of fabric she was looking at, hanging on the wall of a tiny rural parish church where it had been placed 100 years earlier, could only be a lost piece of clothing from the wardrobe of Elizabeth I.
リンさんが、ヘレフォードシャーのバクトンにある教会の祭壇布として使われていたこの豪華な布を偶然見つけてから3年後、エリザベスの失われたドレスは来月ハンプトンコート宮殿で、このチューダー朝の女王が450年以上前に着用した可能性のあるまさしくその部屋の近くに展示される予定である。	Three years after Lynn stumbled across the sumptuous fabric, which had been used as an altar cloth in the church in Bacton, Herefordshire, Elizabeth's lost dress is to go on display next month at Hampton Court palace, close to the very rooms where the Tudor queen may well have worn it more than 450 years ago.
１６世紀のドレスで残っているのは他にもう1着だけで、ロイヤルドレスコレクション全体の中でも重要な発見だったことがわかる。	It is a measure of the importance of the discovery that in the entire royal dress collection, only one other item of 16th-century dress survives.
エリザベスがそのドレスに袖を通したという完璧な証拠はないものの、３年間の研究によりドレスは王室所有のものにまちがいないという専門家の確信が高まった。	And while there is no cast iron proof that the dress was once worn by Elizabeth, three years of scholarship have only strengthened experts' conviction that the dress must have been part of the royal wardrobe.
とてつもなく高価な織物「銀糸を使った布」は法により王室の中でも上級メンバーのみに用意されていたが、「名手」品質の植物や花の刺繍も、後に付け加えられた鹿、犬、蝶、漁師、熊の模様も、以前の持ち主が高貴な人物であったことを示唆する。	"Cloth of silver," a fantastically expensive fabric, was by law reserved only for the most senior members of the royal household, while the "virtuoso" quality of the embroidered plants and flowers, later supplemented by stags and dogs, butterflies, fishermen and a bear, also points to the loftiest of previous owners.
そのドレスは製作された当時、チューダー式邸宅一軒分に相当する価格だったと思われる。	The gown, at the time it was made, would have cost the equivalent of a Tudor mansion.
さらに、エリザベス朝末期の1590年代には、女王は宮殿の他の女性たちからますます脅かされるようなり、そのような豪華な衣服を着用するライバルたちには我慢がならなかったであろうと推測される。	In addition, said Lynn, in the 1590s, late in Elizabeth's reign, she had grown threatened by other women at court and would not have tolerated rivals wearing such exquisite fabric.
リンさんは、公表するには大事なので、同僚の専門家にも見に来てもらったという。	It's a big thing to say, so I have had lots of peer reviewers come and have a look at it.
皆もその布を見ると「すごい」と声をあげるのがいつも本当に嬉しく、ロイヤルドレスの1着を見ているのだと確信した。」	And it has always been really gratifying that when they see it they have a "wow" moment too, and leave quite convinced that we are looking at an item of royal dress."
切り取られ、人目に付かないバクトンの聖フェイス教会の祭壇布として使用されたドレスの一片の長いセカンドライフは、予想外のように思えるがそれほどでもない。	The long second life of the dress panel, recut to serve as an altar cloth in the obscure church of St Faith's, Bacton, is not quite so unexpected as it might appear.
バクトンは、エリザベス女王の長い生涯を通して女官として仕えたブランシュ・パリーの出身村で、地元伝説では、長い間その布がパリーに関連していると伝えられている。	Bacton was the home hamlet of Blanche Parry, the closest of Elizabeth's maids of honour who served the queen throughout her long life, and local legend has long associated the textile with Parry.
ドレスはパリーが亡くなった1590年より後のものであるが、専門家はエリザベスが1603年に死亡する以前に、パリーの追悼として家族か教会に進呈したものに違いないと考えている。	Though the dress postdates her death in 1590, experts believe Elizabeth must have given it to the Parry family or the parish in Blanche's memory, before her own death in 1603.
修復に1000時間以上、そのうち400時間が特別に染められたシルクと細い手術用針を使った非常に繊細な手縫に費された祭壇布は、展覧会の期間中ハットフィールド・ハウスから貸し出されている最も称賛された現代絵画のひとつ、よく似たドレスを着用したエリザベスを描いた「虹の肖像画」の隣に展示される予定である。	After more than 1,000 hours of conservation, 400 of them spent in the most delicate handstitching using specially dyed silk and fine surgical needles, the altar cloth will go on display next to the "Rainbow portrait," one of the most celebrated contemporary paintings of Elizabeth, which shows her dressed in a similar gown and which has been loaned by Hatfield House for the duration of the exhibition.
非常に高価なタペストリーの一部を収納できるだけ広いスペースはハンプトンコート敷地内の改修された温室のみで、保存作業はほとんどここで行われ、作業を指導したリビー・トンプソンは「歴史的な布地を扱っていると、それを作った人の職人技に本当に尊敬の念を感じる」と語った。	"When you're working with historic textiles you gain a real respect for the craftsmanship of the people who made them," said Libby Thompson, who led the conservation, much of which took place in a converted greenhouse in the Hampton Court grounds - the only space large enough to house some of the palace's priceless tapestries.
表と裏にほどこされた刺繍を見ると、これを作った人の対する非常に大きな尊敬の念がわく。	Looking at the embroidery, on the front and the back, it's given me a massive respect for those who made it.
これだけ洗練された作品を今までに見たことがなかった。	I have never worked on anything that's quite so elite.
エリザベスの失われたドレス展は、ハンプトンコート宮殿で10月12日から開催される。	The Lost Dress of Elizabeth opens on 12 October at Hampton Court Palace
「依頼の範囲は捜索しつくした」女児行方不明から１週間 自衛隊は撤収 ボランティアの男性も行方不明（UTYテレビ山梨 ） - Yahoo!ニュース	"Finished searching the area requested" 1 week since girl went missing Self-Defense Force withdrawn Male volunteer also missing (UTY TV Yamanashi) - Yahoo! news
山梨県道志村のキャンプ場で小学１年生の女の子が行方不明になってから１週間です。	It's been one week since a 1st grade elementary school girl went missing in a campground in Doushimura, Yamanashi prefecture.
いまだに手がかりはなく自衛隊は２８日、捜索を終了し撤収しました。	There still are no indications of whereabouts, and the Self-Defense Force has ended their search and withdrawn.
千葉県成田市の小学１年生小倉美咲さんの行方が分からなくなり１週間、き２８日の捜索は午前６時に警察や自衛隊など約２４０人の体制で始まりました。	1 weeks since first grade elementary school student, Ogura Misaki from Narita city, Chiba prefecture went missing, and the search on 28th started at 6am with 240 members from the police and the Self-Defense Force.
しかし村は「依頼した範囲は捜索しつくした」として自衛隊に撤収を要請し、自衛隊の捜索は正午で終了しました。	However, the village stated that "the search in the area requested has been thoroughly done" and asked the Self-Defense Force to withdraw, so the search ended at noon.
自衛隊は２５日から４日間、山の斜面や沢など危険性の高い場所を中心に延べ６５０人を投入しましたが手がかりをつかむことはできませんでした。	The Self-Defense Force has deployed 650 members from the 25th for 4 days, to search dangerous areas such as mountain inclines and creeks, but have not been able to find any clues.
また２７日、ボランティアで捜索に参加したという２０代の男性の行方が分からなくなり、あわせて捜索しましたが見つかっていません。	On the 27th, a male in his 20s who have said to have joined the search as a volunteer has gone missing, and the search for him was carried out as well but has not been found.
警察と消防は２９日も午前６時半から捜索を続ける方針です。	Both the police and fire departments will continue their search from 6:30am on the 29th.
一票の格差訴訟 第1回口頭弁論・宮崎（MRT宮崎放送 ） - Yahoo!ニュース	One Vote Disparity Litigation 1st Oral Proceedings - Miyazaki (MRT Miyazaki Broadcasting) - Yahoo! News
一票の格差が是正されずに今年7月の参院選が実施されたのは憲法違反だとして、有権者が選挙無効を求めている裁判の第1回口頭弁論が福岡高裁宮崎支部で開かれ、即日結審しました。	In a trial where voters are seeking invalidation of the election to the House of Councilors that was carried out in July, claiming it was a violation of the Constitution without correcting the disparity of one vote, the first oral proceedings took place at the Miyazaki Branch of the Fukuoka High Court, and the trial was concluded the same day.
訴状によりますと原告側は、今年7月の参院選で議員1人あたりの有権者数が全国で最も少ない福井県と比べ、1票の価値が宮崎県では0．71票、鹿児島県では0．48票しかないとして、選挙無効を訴えています。	According to the complaint, the plaintiffs point out that compared to Fukui, where there is the least number of voters per member of Upper House in the election this July, the value of one vote in Miyazaki is 0.71, and only 0.48 in Kagoshima, and due to this the election is invalid.
福岡高裁宮崎支部で開かれた27日の第一回口頭弁論で、原告側は「1人1票の価値は不平等で違憲状態だった」と主張。	At the first oral proceedings held on the 27th at the Miyazaki Branch of Fukuoka High Court, the plaintiff asserted that “the value of one vote per person was unequal and unconstitutional”
これに対し、被告側の県選挙管理員会は 、 「 違憲の問題が生じる程度の著しい不平等状態にあったものとはいえず、合憲というべき」として請求棄却を求めました。	The defendant, the Prefectural Election Commission, stated It was “not a significant enough inequality to be considered unfair, so it should be considered constitutional." And requested the claim to be dismissed.
判決は10月30日に言い渡されます。	The ruling will be announced on October 30th.
連絡会代表らによる会見。	Press conference held by representatives of the Korean Kindergartens' Parents Network.
(写真左から) 徐怜愛教員、康仙華弁護士、宋恵淑代表	(From left to right) So Ryong Ae - teacher, Kang Sona - lawyer and Song Hye Suk - head of the Korean Kindergartens' Parents Network
27日、東京都千代田区の日本外国特派員協会で 、 「 幼保無償化を求める朝鮮幼稚園保護者連絡会 」 (以下、連絡会) による記者会見が行われた。	A press conference was held on the 27th at the Foreign Correspondents' Club of Japan in Chiyoda Ward, Tokyo, by a liaison group from the Korean Kindergartens' Parents Network (hereafter, liaison group) seeking free child care.
会見したのは、連絡会の宋恵淑代表、康仙華弁護士、鶴見朝鮮幼稚園の徐怜愛教員の3名。	The press conference was held by three people: Song Hye Suk, head of the Korean Kindergartens' Parents Network, Kang Sona, a lawyer, and So Ryong Ae, teacher at Tsurumi Korean Kindergarten.
10月1日から実施される幼保無償化制度から、朝鮮学校を含めた各種学校認可の88校が除外されることについて、代表らは「理不尽な差別だ」と訴えた。	The three representatives claimed that the exclusion of 88 licensed schools, including Korean schools, from the free childcare program due to come into effect from October 1st was "unfair discrimination".
東証、午前終値は２万１７７９円 米株安重しで大幅反落｜静岡新聞アットエス	Tokyo Stock Exchange closes morning at 21,779 yen, falling sharply in reaction to US stocks | Shizuoka Newspaper @S
２７日午前の東京株式市場の日経平均株価（２２５種）は大幅反落した。	On the morning of the 27th, the Nikkei Index (225 stocks) on the Tokyo Stock Exchange fell sharply.
前日の米国株安が重しとなり、下げ幅は一時３００円を超え、取引時間中として約２週間ぶりの安値を付けた。	The effect of low US stock prices the previous day caused the drop to exceed 300 yen, hitting the lowest price in two weeks during trading.
半導体関連に売り注文が出たことも下げ要因となった。	Orders to sell stocks of companies related to semiconductors also contributed to the drop.
午前終値は前日終値比２６８円２５銭安の２万１７７９円９９銭。	The morning closed out at 21,779.99 yen, 268.25 yen lower than the previous day.
東証株価指数（ＴＯＰＩＸ）は２５・７５ポイント安の１５９７・５２。	The Tokyo Stock Price Index (TOPIX) fell 25.75 points to 1597.52.
前日のニューヨーク市場は、トランプ米大統領に対する弾劾問題で米国政治の混乱が警戒され、ダウ工業株３０種平均は下落して取引を終えた。	The Dow Jones Industrial Average closed the previous day in New York after a slump in trading as the market erred on the side of caution, expecting there to be political turmoil accompanying the impeachment of President Trump.
２７日の東京市場もこの流れを引き継いだ。	The Tokyo Market followed this trend on the 27th.
MAX"うんこカワイイ"世界 「うんこミュージアムSHANGHAI」オープン（オーヴォ ） - Yahoo!ニュース	"Unko Museum Shanghai", the Max "Unko Kawaii" world, opens (Ovo) - Yahoo! News
海外でもなぜか人気があるうんちの絵文字やグッズ。	Unko emojis and merchandise that somehow gained a lot of popularity worldwide.
うんちのLINEスタンプやキーホルダーを持っている人もいるかな？	Is there anybody who has poop Line stamps or key chains?
横浜とお台場にオープンして以来話題を集めている「うんこミュージアム」が海外にも進出する。	"Unko Museum" which has gained huge attention since the opening in Yokohama and Odaiba, is set to roll out overseas.
2019年10月～2020年1月までの期間限定で中国・上海にオープンするのが「うんこミュージアムSHANGHAI」だ。	"Unko Museum Shanghai" will open for a limited amount of time in Shanghai, China, from October 2019 to January 2020.
SHANGHAIの会場は横浜・お台場よりも大きい過去最大規模（703㎡）に。	The Shanghai museum boasts the largest venue (70 square meters,) compared to the ones in Yokohama and Odaiba.
コンテンツは国内のうんこミュージアムと同様で、巨大オブジェから小さなうんこが飛び出すうんこボルケーノのある「大広場 」 、 かわいくてキラキラしたうんこが並ぶ「ウンスタジェニックエリア 」 、 世界のうんこグッズを知ることができる「ウンテリジェンスエリア 」 、 うんこのゲームが楽しめる「ウンタラクティブエリア」の4エリアで構成される。	The exhibits are the same as the ones in Japan consisting of 4 areas; "Big Square" where there is a unko volcano, a large object that shoots out small unkos, "Unstagenic Area" where cute, sparkly poops are lined up, "Untelligence Area" where one can learn about poop related merchandise from all over the world, and "Unterracreative Area" where people can enjoy poop games.
前からうんこの良さに気付いている人も 、 「 うんこがカワイイってどういうこと ？ 」と思っている人も、みんな楽しめるのがうんこミュージアムらしい。	It's a fun-filled museum for everyone, whether you have already noticed the awesomeness of unko or if are wondering "what does cute poop mean?"
うんこを見て、触って、撮って遊べる"MAXうんこカワイイ"世界をエンジョイしてみる？	Would you like to enjoy "Max Unko Kawaii" world where poops can be viewed, touched, and photographed for fun?
上海市闸北区西藏北路166号 上海静安大悦城北楼4階 開催期間：2019年10月19日～2020年1月3日 営業時間：10:00～22:00 ※最終入場受付は21:00	Joy City Shopping Mall Floor 4F, 166 Xizang N Rd, Zhabei Qu, Shanghai Shi, China, Running: From October 19th, 2019 to January 3rd, 2020, Hours: From 10:00 to 22:00, *Last admission is at 21:00.
いすゞの大型トラック ギガ、最新モデルを世界初公開へ...東京モーターショー2019（レスポンス ） - Yahoo!ニュース	Isuzu heavy-duty truck, Giga, world premier of the latest model ...Tokyo motor show 2019 (Response) - Yahoo! News
いすゞ自動車は、10月24日から11月4日まで東京ビッグサイトなどで開催される「東京モーターショー2019」にて、大型トラック『ギガ』最新モデルを世界初公開する。	Isuzu motors will showcase their latest model heavy-duty truck "Giga" for the first time in the world at "Tokyo motor show 2019," which will be held at venues including Tokyo Big Sight from October 24th to November 4th.
いすゞトラックのフラッグシップモデル、ギガは、最新の先進安全装置に加え、ドライバーへの疲労軽減装備を新たに拡充。	In addition to the latest advanced safety feature, Isuzu's flagship model, Giga, has improved features to reduce driver fatigue.
歩行者や自転車も検知するプリクラッシュブレーキ、右左折時の巻き込み事故抑制や車線変更を支援するブラインドスポットモニターや可変配光型LEDヘッドランプ等により安全運転に貢献する。	It will contribute to better safety with its pre-crash brake that detects pedestrians and bicycles, blind spot monitor to help avoid collisions when turning at intersections as well as assist safe lane changes and adaptive LED headlights with variable light distribution,
また、全車速で先行車に追従する全車速ミリ波車間クルーズや新ハイルーフキャブ等によりドライバーの疲労軽減に寄与。	Cruise control system utilizing a millimeter-wave radar to automatically adjust the vehicle speed for a safe distance from a preceding vehicle and a newly designed high roof cabin are also added to alleviate driver fatigue.
さらに、車両運行・動態管理システム「MIMAMORI」も車両コンディション項目を拡充。	Additionally, a vehicle operation / movement management system "Mimamori" improves the condition of the vehicle.
安全装置の作動状況も新たにモニタリングし、安心稼働を支援する。	It monitors the status of the safety features, and support safe operation of the vehicle.
また、未来の物流ネットワークをショーモデルとして表現した「FL-IR」をワールドプレミアする。	Also, there will be a world premiere of "FL-IR", a logistic network of the future depicted by a show model.
FL-IRは、魚類などに見られる超音波の会話や行動習性と、コネクテッドや隊列走行との類似性に着目。	FL-IR focuses on similarities between connected and platooning trucks and marine animals' communication through ultrasonic waves and their unique behaviors.
エクステリアは「サメ」をモチーフに効率的なロボットのイメージを付与したバイオデザインを取り入れ、風を切り裂く有機的な形状の前絞りキャブと、その周りを覆う硬質なエアロデバイスの対比をスタイルの特徴としている。	The exterior has "shark" inspired bio design that projects an image of an effective robot, with characteristic of contrasting styles between organically shaped sharp-nose cabin for cutting through the wind, and the sturdy aero device that surrounds it.
インテリアは手動・自動の運転モード変更でダッシュボードが入れ替わるレイヤーデザインを採用。	A layer design was applied for the interior, which enables the dashboard to switch between manual or autonomous driving.
シートはセンターに配置し、快適な操作性と居住性を兼ね備える。	Seats are installed in the center for pleasant driving and comfortability.
同じく世界初公開となるのが、次世代の小型配送車「エルフEVウォークスルーバン 」 。	Another world premiere is the next generation small-scale delivery vehicle "Elf EV Walk-through Van."
ゼロエミッションや低騒音はもちろん、EVだからこそ実現できたウォークスルー構造を組みあわせ、ドライバーの労働環境や集配作業の効率化にも配慮している。	In addition to zero emission and low noise level, a walk-through structure that was possible due to being an EV has been implemented, for efficiency of collection and delivery as well as work environment.
運転席には回転シートを搭載することで、ドライバーの車内移動をサポート。	A swivel seat is installed for the driver, which supports the driver's movement inside the vehicle.
また安全面でも、広範囲を映し出す電子ミラーシステムや、車両全周囲を確認できる3Dサラウンドマルチビューを搭載する。	In regards to safety, a wide-view digital mirror system, as well as 3D surround multi-view for periphery monitoring, are equipped.
このほか、日野が共同開発した国産初のハイブリッド連節バス「エルガデュオ」や大幅な改良を行った小型トラック「エルフ 」 、 最新の排出ガス規制への対応と燃費の両立を実現したディーゼル4JZ1エンジンを出品する。	In addition to this, "Erga Duo", the country's first hybrid articulated bus developed jointly with Hino, "Elf", a substantially improved small-scale truck, as well as Diesel 4JZ1 engine, which allows compliance to the latest emissions regulation and high fuel efficiency, will be exhibited.
また、稼働サポート「PREISM（プレイズム ） 」 や天然ガス自動車への取り組みを動画やパネル展示で紹介。	There will also be video and panel exhibits of "PREISM (Preism)" , an operation support, and their work regarding natural gas vehicles.
ファミリースペースでは、いろいろなトラックの使われ方を動画で見ることができるタッチパネルや、トラックドライバーになりきれるフォトブースなどを用意する。	In the family space, there will be a touch panel that plays a video showing various trucks and their purposes, and a truck driver photo booth that allows show goers to be truck drivers.
無人補給機、宇宙基地に到着 ロボットアームでキャッチ｜静岡新聞アットエス	Unmanned supply craft caught by robot arm as it arrives at space station | Shizuoka Newspaper @S
国際宇宙ステーションに到着した無人補給機「こうのとり」８号機。	Kounotori 8, the robotic cargo spacecraft arrives at the ISS.
左下からステーションのロボットアームが伸びている（ＮＡＳＡ提供）	The robotic arm of the space station can be seen extending from the bottom left (photo provided by NASA)
国際宇宙ステーションが「こうのとり」８号機のキャッチに成功し、拍手するＪＡＸＡ職員ら＝２８日（ＪＡＸＡ提供）	JAXA officials on the 28th applaud when the ISS succeeded in catching the Kounotori 8 (photo provided by JAXA)
高度約４００キロの国際宇宙ステーションに物資を運ぶ宇宙航空研究開発機構（ＪＡＸＡ）の無人補給機「こうのとり」８号機が２８日夜、ステーション付近に到着、滞在中の宇宙飛行士がロボットアームを操作しキャッチした。	The Japan Aerospace Exploration Agency (JAXA)'s unmanned robotic cargo spacecraft, Kounotori 8, on a mission to bring supplies the International Space Station orbiting above Earth at an altitude of 400km, reached the vicinity of the station on the evening of the 28th, where it was caught by a robot arm being operated by one of the astronauts onboard.
補給機は鹿児島県の種子島宇宙センターから２５日に打ち上げられ、ＪＡＸＡ筑波宇宙センターの制御で徐々に高度を上げた。	The supply craft was launched from the Tanegashima Space Center in Kagoshima Prefecture on the 25th, gradually climbing to the required altitude under the control of the JAXA Tsukuba Space Center.
最後にはステーションと同じ速度で飛行することで速度差を無くし、約１０ｍの距離まで接近。	Finally, it matched speed with the station, getting to a distance within just 10m of the station.
長さ１７・６ｍのロボットアームが補給機をつかむ流れだ。	From there, the supply craft was grabbed by a 17.6m-long robotic arm.
補給機は約５・３トンの物資を搭載。	It was carrying approximately 5.3 tons of supplies.
ステーションに取り付けた後、飛行士が荷物を搬出する。	Once it was docked with the station, the astronauts brought the supplies on board.
メキシコ麻薬カルテル幹部、米国内薬物の3分の1に関与	Mexican cartel boss behind one-third of drugs in the U.S.
シカゴ発 シカゴ・ウェストサイドの日の出直後、CBSニュースは薬物取引のラッシュアワーを捉えた。	Chicago - Just after sunrise on Chicago's West Side, CBS News watched the morning rush for drugs.
麻薬取締局（DEA)のブライアン・マクナイトが白昼堂々と何が行われているのかを明らかにした。	Brian McKnight with the Drug Enforcement Administration (DEA) showed what was going on in broad daylight.
昨年シカゴでは、800人近くが薬物過剰摂取で死亡している。	Last year in Chicago, almost 800 people died from drug overdoses.
マクナイトは、シカゴで取り引きされる薬物の「おそらく９割」がメキシコから持ち込まれたものだと語った。	McKnight said "probably 90%" of the drugs in Chicago are coming from Mexico.
DEAは、通称エル・メンチョことネメシオ・セルバンテスという名のメキシコ麻薬王に注目している。	The DEA is focused on a Mexican drug lord named Nemesio Cervantes, known simply as El Mencho.
メキシコ駐在のマシュー・ドナヒューDEA幹部捜査官は、「メンチョは、DEAと、実のところ、米国連邦法執行機関の最優先お尋ね者だ」と語った。	"He is the number one priority for DEA and frankly for federal law enforcement in the United States," said Matthew Donahue, the DEA's top agent in Mexico.
エル・メンチョにかけられた懸賞金は1000万ドルに達する。	A bounty for El Mencho is up to $10 million.
ドナヒューの手助けで、密林内にあるエル・メンチョの薬物製造拠点数十件が暴かれた。	He has helped uncover dozens of El Mencho drug labs in the jungle.
エル・メンチョの麻薬カルテル、ハリスコ・ヌエバ・へネラシオン（CJNG)は、陸路や海路で米国に持ち込まれる薬物の少なくとも3分の１に関与している。	El Mencho's Cartel Jalisco Nueva Generacion, or CJNG, is responsible for at least a third of the drugs entering the U.S. by land and sea.
司法省によると、同カルテルは「大量の」コカイン、メタンフェタミン、フェンタニル混合ヘロインを密売してきた。	According to the Department of Justice, the cartel has trafficked "tons" of cocaine, methamphetamine and fentanyl-laced heroin.
エル・メンチョの首には1000万ドルの懸賞金がかけれられている。	El Mencho has a $10 million bounty on his head.
皮肉なことに、メンチョは30数年前カリフォルニアに住んでいたが、麻薬絡みの容疑で逮捕され、メキシコに送還された。	Ironically, he lived in California some 30 years ago, where he was arrested on drug charges and eventually deported back to Mexico.
そこで凶暴な麻薬カルテルを始めた。	That's where he started the violent cartel.
膨大な量の武器、携行式ロケット弾、50口径弾を所有している。	He has got an enormous amount of weapons, RPGs, 50 caliber weapons.
実際に独自の特別機動隊も所有しているとドナヒューは語った。	He basically has his own SWAT teams," Donahue said.
６名の死者を出したメキシコ陸軍ヘリコプター撃墜から今夏の公開処刑への関与に至るまで、エル・メンチョは処罰を受けずに自己の帝国を死守している。	From shooting down a Mexican Army helicopter, killing six, to being implicated in a public hanging this summer, El Mencho protects his empire with impunity.
近年、麻薬カルテルの抗争が原因となる数千件の殺人事件が起きている。	Cartel violence has led to thousands of murders in recent years.
メキシコ政府の統計によると、1日に約94件の殺人事件が起きているという。	According to statistics from the Mexican government, there are approximately 94 homicides per day.
シカゴでは、押収されたメキシコ産麻薬は毒性が強いため、取り扱い時には防護服を着用しなければならない。	Back in Chicago, the Mexican drugs seized are so toxic, they can't be handled without protective gear.
製造拠点では、コカインの袋には密売者の刻印が押されている。	At the lab, packs of cocaine are stamped with trafficker brands.
3分の１以上がエル・メンチョの麻薬カルテル製とみられる。	More than a third can be traced back to El Mencho's cartel.
ドナヒューは、「メンチョは、何の罪もない女性や子供の命を事実上奪っている有害物質の流入に関与している」と述べた。	"He is the one that is responsible for sending the poison that is actually killing innocent women and kids," Donahue said.
つまり、誰かの子供が死亡した際、エル・メンチョの組織から持ち込まれた薬物である「可能性が高い」のである、とドナヒューは語った。	So, when someone's child dies, Donahue said there's "a good chance" those drugs came from El Mencho's organization.
昨年、67000名以上のアメリカ人が過剰摂取により死亡した。	Last year, more than 67,000 Americans died from an overdose.
大阪・天王寺動物園でコアラ送別 繁殖で英国へ、１０年間貸し出し｜静岡新聞アットエス	Osaka Tennoji Zoo bids farewell to koala as he will be lent to the UK for 10 years as part of a breeding program | Shizuoka Newspaper @S
繁殖のため英国の動物園へ貸し出される雄のコアラ「アーク」＝２８日、大阪市の天王寺動物園	"Ark" the male koala will be lent to a zoo in the UK for breeding, at Tennoji Zoo in Osaka on the 28th
コアラ「アーク」の送別会で寄せ書きをする子どもたち＝２８日、大阪市の天王寺動物園	Children writing messages to "Ark" at farewell party for the koala, at Tennoji Zoo in Osaka on the 28th
